Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,module,library
gs_ind_0,Acetylcholine Binding and Downstream Events,10/14,9.335548961466007e-16,7.412425875404009e-14,148.10500352360816,5125.54863485802,CHRNA2;CHRNA6;CHRND;CHRNB4;CHRNB3;CHRNE;CHRNA5;CHRNA1;CHRNA3;CHRNB2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Acetylcholine Neurotransmitter Release Cycle,3/17,0.002380341949890917,0.049736618637194425,14.87084896976563,89.82752864295598,SLC18A3;SLC5A7;CHAT,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Activated NOTCH1 Transmits Signal to the Nucleus,1/31,0.3960575232750753,0.8569553351151952,3.0020032720109513,2.780442874601839,PSEN2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Activation of Anterior HOX Genes in Hindbrain Development During Early Embryogenesis,2/69,0.30585997313509095,0.8314328998885879,2.2644096038779065,2.6824827618448674,EGR2;HOXC4,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Activation of HOX Genes During Differentiation,2/69,0.30585997313509095,0.8314328998885879,2.2644096038779065,2.6824827618448674,EGR2;HOXC4,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Activation of NMDA Receptors and Postsynaptic Events,2/85,0.3992140395015434,0.8569553351151952,1.828551485985085,1.6790812369565467,NEFL;ACTN2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Acyl Chain Remodeling of DAG and TAG,1/4,0.06294177105238268,0.5846436257914703,26.207448356124527,72.477884289703,PNPLA2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Adaptive Immune System,11/784,0.7243857032550749,0.953356950961012,0.8991514293125383,0.2899145544934385,ORAI1;KBTBD13;KLHL41;STIM1;GAN;RAPGEF4;RAB7A;DNM2;LRSAM1;TRIM32;HLA-DMB,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Adipogenesis,1/108,0.8281828920803034,0.9999989353154966,0.8473547103680197,0.15974438176097844,EGR2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Aerobic Respiration and Respiratory Electron Transport,1/241,0.980703582196087,0.9999989353154966,0.37537631631317986,0.00731421649390671,COX6A1,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Amino Acid Transport Across the Plasma Membrane,1/33,0.41541074371626274,0.8600645684078896,2.816888610371299,2.474601445301743,SLC6A6,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Antigen Activates B Cell Receptor (BCR) Leading to Generation of Second Messengers,2/94,0.449172077114151,0.8600645684078896,1.649643508539214,1.3202908943748315,STIM1;ORAI1,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Antigen Processing Ubiquitination & Proteasome Degradation,5/282,0.47832525884243493,0.8628363075718869,1.2095834965400183,0.8920246708410915,KBTBD13;KLHL41;GAN;LRSAM1;TRIM32,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Apoptosis,1/161,0.9279441192396615,0.9999989353154966,0.5655252488722234,0.04229210694313841,DSG2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Apoptotic Cleavage of Cell Adhesion Proteins,1/11,0.16374229764191228,0.722285468487102,8.731742798952576,15.79975192380056,DSG2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Apoptotic Cleavage of Cellular Proteins,1/37,0.4522836343133606,0.8600645684078896,2.507518901877633,1.98958030703538,DSG2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Apoptotic Execution Phase,1/47,0.5346441960581618,0.873472205082676,1.966953551015045,1.2316154550052416,DSG2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Asparagine N-linked Glycosylation,6/289,0.32327257793414166,0.8324689873678326,1.4044997378330712,1.5860445552699538,DOLK;TFG;NAGK;GNE;DPM3;GFPT1,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Assembly and Cell Surface Presentation of NMDA Receptors,2/36,0.11416719041542384,0.6568749941293226,4.44014700216354,9.63552447947839,NEFL;ACTN2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Assembly of Collagen Fibrils and Other Multimeric Structures,1/61,0.6296370858144409,0.9089669929757564,1.5103768662368922,0.6987179792848796,COL6A3,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Attenuation Phase,1/26,0.3448371705238676,0.8352731996206848,3.591829399784354,3.8241594956115796,DNAJB6,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Autophagy,3/145,0.4149638894902051,0.8600645684078896,1.5002629777729746,1.3195769694438442,MFN2;UVRAG;MTMR14,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Axon Guidance,8/516,0.5948843654325269,0.8918771023149604,1.0167921023934827,0.5281098565777345,MYH14;CACNA1S;PSEN2;NRCAM;COL6A3;CNTNAP1;DNM2;SCN4A,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Bacterial Infection Pathways,2/74,0.33550387400214915,0.8324689873678326,2.1075382554121713,2.3016884218264977,RAB7A;SYT2,Module11,Reactome_Pathways_2024_Human
gs_ind_0,Biosynthesis of the N-glycan Precursor (Dolichol LLO) and Transfer to a Nascent Protein,5/72,0.006081944374459166,0.10497964855044734,5.043585614600107,25.734546762417914,DOLK;NAGK;GNE;DPM3;GFPT1,Module11,Reactome_Pathways_2024_Human
