# Graph Type: undirected
ARF1	GGA3
TFAP2A	CITED2
TFAP2A	EP300
ARRB2	RALGDS
ARVCF	CDH15
CAPN1	PSEN2
CDC7	MCM2
CDK2	CDKN3
ZBTB16	HBEGF
ESR1	PPARGC1B
FGA	PRRC2A
GABARAP	GABRG2
GRIK1	PICK1
SDCBP	GRIK1
GNAO1	RGS19
CCR10	PRRC2A
HTT	SETD2
HTT	HAP1
HTT	ZDHHC17
HTT	HYPK
HTT	TRIP10
TCF3	ID3
IGF1R	IRS1
SOCS1	IGF1R
IRS1	PTK2
IRS1	MAPK8
INSR	IRS1
PRMT5	JAK2
SOCS1	JAK2
KRT8	BYSL
ALOX5	COTL1
XRCC6	VAV1
XRCC6	NCF4
PIAS4	LEF1
MITF	LEF1
LOX	DHDDS
CDC7	MCM7
NGFR	PRKACB
NPY1R	LSM7
SNCA	SNCAIP
NUMA1	EPB41L1
NFKB1	MAP3K8
AKT1	PLXNA1
ETS2	CDK10
SOCS1	CSF1R
PPARA	NRBF2
PIK3CA	PIK3R3
TRPC1	PKD2
KCNA4	DLG1
PTPRB	MAGI3
PDPK1	PRKCZ
PRKCZ	WWC1
RHOG	ARHGDIG
SOX9	NR5A1
NRIP1	NR5A1
UNC13B	STX1A
SIVA1	CD27
TXN	NCF4
TCAP	TTN
E2F1	NDN
SRC	EPHB2
BIN1	ITGA1
ZNF10	TRIM28
TRIM24	ZNF10
MEFV	COG5
AR	FLNA
FLNA	CASR
AGTR2	MTUS1
CASK	TBR1
ARHGEF11	PLXNB3
UNC5A	MAGED1
ARHGEF9	GPHN
FMR1	NUFIP1
RPGR	RPGRIP1
PDE6D	RPGR
AP1G1	SYP
AR	RAN
AR	NR2C2
AR	NCOA3
AR	RNF4
AR	NCOA4
AR	PAK6
AR	RANBP9
AR	RCHY1
PIAS2	AR
INSM1	SORBS1
YY1	YAF2
BCL2L1	AVEN
BCL2L1	RTN1
PDE4D	PDE4DIP
HNF4A	CREBBP
TIAF1	JAK3
CENPF	CENPF
PTPN13	PKN2
DSC3	PKP4
HNF4A	ZNHIT3
