# Graph Type: undirected
ARF1	GGA3
DAB1	APLP1
TFAP2A	CITED2
TFAP2A	EP300
ARRB2	RALGDS
GIPC1	ADRB1
ARVCF	CDH15
PCBD1	CACNA1C
CAPN1	PSEN2
CA8	ITPR1
CDC7	MCM2
CDK2	CDKN3
CCNB1	RALBP1
ARNT	SIM2
ZBTB16	HBEGF
ESR1	PPARGC1B
FGA	PRRC2A
GABARAP	GABRG2
SDCBP	GRIK2
GRIK2	PICK1
GRIK1	PICK1
SDCBP	GRIK1
GNAO1	RGS19
HTT	SETD2
HTT	HAP1
HTT	ZDHHC17
HTT	HYPK
HTT	TRIP10
TCF3	ID3
IGF1R	IRS1
IRS1	PTK2
IRS1	MAPK8
INSR	IRS1
PRMT5	JAK2
KRT8	BYSL
ALOX5	COTL1
PIAS4	LEF1
MITF	LEF1
MC4R	ATRNL1
CDC7	MCM7
NPY1R	LSM7
SNCA	SNCAIP
NUMA1	EPB41L1
RELA	RNF25
AKT1	PLXNA1
ETS2	CDK10
CTTN	SHANK2
MET	GLMN
FOXG1	KDM5B
KALRN	PAM
PPARA	NRBF2
PIK3CA	PIK3R3
TRPC1	PKD2
KCNA4	DLG1
PTPRB	MAGI3
PDPK1	PRKCZ
PRKCZ	WWC1
RHOG	ARHGDIG
UNC13B	STX1A
E2F1	NDN
SRC	EPHB2
MEFV	COG5
AR	FLNA
TRO	BYSL
SMAD4	CITED1
CASK	TBR1
LRP2	DLG3
NCS1	IL1RAPL1
ARHGEF11	PLXNB3
UNC5A	MAGED1
TIMM8A	STAM
SH3KBP1	SH3GL3
ARHGEF9	GPHN
FMR1	NUFIP1
POLA1	RBMS1
RPGR	RPGRIP1
PDE6D	RPGR
MPDZ	HTR2C
AP1G1	SYP
AR	RAN
AR	NR2C2
AR	NCOA3
AR	RNF4
AR	NCOA4
AR	PAK6
AR	RANBP9
AR	RCHY1
PIAS2	AR
INSM1	SORBS1
YY1	YAF2
BCL2L1	RTN1
LRP2	MAGI1
LRP2	ANKRA2
DAB2	LRP2
LRP2	DLG2
PDE4D	PDE4DIP
TIAF1	JAK3
PTPN13	PKN2
BCAR1	RAPGEF1
NCBP2	NCBP1
KCNJ4	DLG4
NCK1	EPHB1
DLG4	ERBB4
YAP1	ERBB4
ERBB4	DLG2
KCNJ2	DLG4
PSEN2	KCNIP3
UGCG	RTN1
HAP1	NEUROD1
COPB1	COPG2
DAB2	MYO6
ARHGEF11	PLXNB1
CSPG4	GRIP2
BIN1	ITGA3
BCAR1	YWHAZ
LSM8	GTF2I
TRAF1	HIVEP3
PEG10	SIAH1
DNM2	SHANK1
DNM2	SHANK2
IPCEF1	CYTH2
COPB2	RGS4
MAP2K5	MAP3K3
PDE6D	RND1
CLSTN1	APBA2
FYB1	SKAP1
PPL	KAZN
SMAD7	PIAS4
TRIP6	LPAR2
LHX2	CITED2
TLR4	RNF216
ARHGEF7	SHANK2
TRADD	TNFRSF25
ITGA3	RABIF
TROAP	BYSL
RGS6	DMAP1
PLXNB2	RND1
COPG2	COPG1
UNC13B	SPTBN2
ARHGEF7	SHANK1
NBL1	UBQLN1
URI1	DMAP1
MCL1	BOK
TLR9	RNF216
RAB11A	RAB11FIP4
PACSIN1	PACSIN1
CSPG5	GOPC
IPO13	PAX6
OSTM1	RGS17
RGS20	OSTM1
CDC7	ORC6
LSM8	COL23A1
LRPPRC	CECR2
MT2A	PRKD1
MT-ND2	SRC
DTNB	KIF5A
CDC7	MCM4
CCNE1	CUL3
EPB41L2	GRIA1
PDZD2	CTNND2
GNB5	GNG4
ARL6IP5	ARL6
PUM2	NANOS1
ARL6IP4	ARL6
ARL6IP1	ARL6
CNKSR2	LRRC7
UBXN11	RND1
PPP1CA	PHACTR3
ATL2	ARL6
ARL6IP6	ARL6
ERC2	PPFIA1
CDK14	SEPTIN8
MAST2	CDHR2
C6orf47	FGFR3
ATP6V1G2	ATP6V1E1
KIAA0408	CEP72
LMO2	MAPRE2
EWSR1	PRTFDC1
TRIM29	CRACR2A
DCTD	LNX1
RBM10	PTBP2
LGALS8	CALCOCO2
DAZAP2	DCUN1D1
YWHAG	KIAA0408
PCBD1	NUDT18
LDOC1	LNX1
ZNF821	CCDC85B
ZNF446	ZSCAN32
NOL3	NOL3
LNX1	CUTC
PPP1R37	ZMYND19
FHL3	PHC2
NIF3L1	PRTFDC1
SORBS3	KIAA0408
LURAP1	THAP7
FXR2	KCTD4
HK2	UBQLN1
RTL8A	UBQLN1
CALCOCO2	LNX1
RASSF8	FRMD6
CCNK	NECAB2
DTNB	NUP62
CEP19	KXD1
PAK5	TUBGCP4
FAM131C	DNAJA3
CEP63	MBIP
DLK2	ADAMTSL4
KHDRBS3	ZNF408
NT5C2	NUDT18
RTN1	FAM160A2
DFFA	NECAB2
RALYL	LMO3
PLSCR1	DLK2
PSMA1	NECAB2
DNAL4	DYNLL2
AP2B1	KIAA0408
PACSIN1	PACSIN2
PAFAH1B2	PAFAH1B3
PDE9A	TRIM32
EWSR1	KHDRBS2
HAAO	GAD1
USP2	HOOK2
EFEMP2	FAM107A
SRSF1	LNX1
ENOX1	NIF3L1
PLSCR1	NTN4
NINL	MAD1L1
KHDRBS3	BAHD1
FLAD1	PRTFDC1
NUDT18	RAB3IL1
EWSR1	NLE1
CALCOCO2	PIAS4
KHDRBS3	PSMF1
ZNF496	ZNF446
NADK	LNX1
RWDD4	KCTD17
TRIP13	TEX37
FXR2	RALYL
LZTS2	PAK5
EFEMP2	SGTB
