# Graph Type: undirected
ARF1	GGA3
TFAP2A	CITED2
TFAP2A	EP300
ARRB2	RALGDS
SLC4A1	SLC4A1AP
BCL3	BARD1
ATF1	BRCA1
BRCA1	MSH2
BRCA1	BARD1
BRCA1	MSH6
ARVCF	CDH15
MCM2	ORC1
MCM5	MCM2
CDC7	MCM2
MCM2	DBF4
CDC25A	YWHAZ
CDK2	CDKN3
RBL1	RBBP8
CCNB1	RALBP1
ARNT	SIM2
FGA	PRRC2A
GABARAP	GABRG2
GRIK1	PICK1
SDCBP	GRIK1
CCR10	PRRC2A
HTT	SETD2
HTT	HAP1
HTT	ZDHHC17
HTT	HYPK
HTT	TRIP10
PRMT5	JAK2
KRT8	BYSL
LMNA	LMNB1
LYL1	NFKB1
ALOX5	COTL1
XRCC6	VAV1
XRCC6	NCF4
XRCC6	MRE11
PIAS4	LEF1
MITF	LEF1
MC4R	ATRNL1
MCM7	ORC1
MCM7	DBF4
CDC7	MCM7
NFKB1	MAP3K8
MET	GLMN
VAV1	EZH2
PAX5	TLE4
PPARA	NRBF2
MAPK1	NEK2
RHOG	ARHGDIG
BRCA2	RAD51
RAD51	RAD51AP1
RAD51	DMC1
RXRA	BRD8
ANK1	RHAG
SIVA1	CD27
TAL1	NCAPG2
TXN	NCF4
E2F1	NDN
FES	HSH2D
CDH1	CBLL1
EED	ITGA4
GATA1	FLI1
ZNF10	TRIM28
TRIM24	ZNF10
MEFV	COG5
XPA	RPA4
FLNA	CASR
AGTR2	MTUS1
TRO	BYSL
LRP2	DLG3
TIMM8A	STAM
SH3KBP1	SH3GL3
FMR1	NUFIP1
POLA1	RBMS1
RPGR	RPGRIP1
PDE6D	RPGR
AP1G1	SYP
BAX	BCL2A1
LRP2	MAGI1
LRP2	ANKRA2
DAB2	LRP2
PSTPIP1	PTPN12
HNF4A	CREBBP
TIAF1	JAK3
TLE1	HES6
CENPF	CENPF
DSC3	PKP4
HNF4A	ZNHIT3
CSTF1	BARD1
NCBP2	NCBP1
NCK1	EPHB1
S100P	S100P
AP2M1	LY9
HAP1	NEUROD1
