# Graph Type: undirected
ARF1	GGA3
DAB1	APLP1
TFAP2A	CITED2
TFAP2A	EP300
ARRB2	RALGDS
GIPC1	ADRB1
ARVCF	CDH15
PCBD1	CACNA1C
CAPN1	PSEN2
CA8	ITPR1
CDC7	MCM2
CDK2	CDKN3
CCNB1	RALBP1
ARNT	SIM2
ZBTB16	HBEGF
ESR1	PPARGC1B
FGA	PRRC2A
GABARAP	GABRG2
SDCBP	GRIK2
GRIK2	PICK1
GRIK1	PICK1
SDCBP	GRIK1
GNAO1	RGS19
LIMK1	NRG1
CCR10	PRRC2A
HTT	SETD2
HTT	HAP1
HTT	ZDHHC17
HTT	HYPK
HTT	TRIP10
TCF3	ID3
IGF1R	IRS1
IRS1	PTK2
IRS1	MAPK8
INSR	IRS1
PRMT5	JAK2
KRT8	BYSL
ALOX5	COTL1
XRCC6	VAV1
PIAS4	LEF1
MITF	LEF1
MC4R	ATRNL1
CDC7	MCM7
NPY1R	LSM7
SNCA	SNCAIP
NUMA1	EPB41L1
AKT1	PLXNA1
ETS2	CDK10
CTTN	SHANK2
MET	GLMN
FOXG1	KDM5B
KALRN	PAM
PPARA	NRBF2
PIK3CA	PIK3R3
TRPC1	PKD2
PTPRB	MAGI3
PDPK1	PRKCZ
PRKCZ	WWC1
RHOG	ARHGDIG
SLC17A1	PDZK1
UNC13B	STX1A
SIVA1	CD27
E2F1	NDN
SRC	EPHB2
ZNF10	TRIM28
TRIM24	ZNF10
MEFV	COG5
AR	FLNA
AGTR2	MTUS1
TRO	BYSL
SMAD4	CITED1
CASK	TBR1
LRP2	DLG3
NCS1	IL1RAPL1
ARHGEF11	PLXNB3
UNC5A	MAGED1
TIMM8A	STAM
SH3KBP1	SH3GL3
ARHGEF9	GPHN
FMR1	NUFIP1
POLA1	RBMS1
RPGR	RPGRIP1
PDE6D	RPGR
MPDZ	HTR2C
AP1G1	SYP
AR	RAN
AR	NR2C2
AR	NCOA3
AR	RNF4
AR	NCOA4
AR	PAK6
AR	RANBP9
AR	RCHY1
PIAS2	AR
INSM1	SORBS1
YY1	YAF2
BCL2L1	RTN1
LRP2	MAGI1
LRP2	ANKRA2
LRP2	LRP2BP
DAB2	LRP2
LRP2	DLG2
PDE4D	PDE4DIP
TIAF1	JAK3
PTPN13	PKN2
DSC3	PKP4
BCAR1	RAPGEF1
NCBP2	NCBP1
KCNJ4	DLG4
NCK1	EPHB1
DLG4	ERBB4
YAP1	ERBB4
ERBB4	DLG2
KCNJ2	DLG4
PSEN2	KCNIP3
LIMK1	BMPR2
CDKN1C	LIMK1
UGCG	RTN1
HAP1	NEUROD1
COPB1	COPG2
DAB2	MYO6
ARHGEF11	PLXNB1
BIN1	ITGA3
BCAR1	YWHAZ
LSM8	GTF2I
TRAF1	HIVEP3
RFXAP	RFX5
PTK6	STAP2
TACC1	YEATS4
PEG10	SIAH1
SIAH2	PEG10
DNM2	SHANK2
IPCEF1	CYTH2
COPB2	RGS4
MAP2K5	MAP3K3
PDE6D	RND1
CLSTN1	APBA2
FYB1	SKAP1
PPL	KAZN
SMAD7	PIAS4
LHX2	CITED2
TLR4	RNF216
FANCA	SMARCA4
ARHGEF7	SHANK2
TRADD	TNFRSF25
ITGA3	RABIF
LSM7	MYH13
HUNK	RABEP1
PDZK1	SLC22A4
AKAP10	PDZK1
TROAP	BYSL
RGS6	DMAP1
PLXNB2	RND1
COPG2	COPG1
PACSIN3	PACSIN2
UNC13B	SPTBN2
NBL1	UBQLN1
URI1	DMAP1
FHL5	FHL5
FEZ1	DISC1
MCL1	BOK
TLR9	RNF216
RAB11A	RAB11FIP4
ABI3BP	ABI3
PACSIN1	PACSIN3
PACSIN1	PACSIN1
CSPG5	GOPC
IPO13	PAX6
OSTM1	RGS17
RGS20	OSTM1
CDC7	ORC6
LSM8	COL23A1
LRPPRC	CECR2
MT2A	PRKD1
MT-ND2	SRC
PAWR	THAP1
DTNB	KIF5A
CDC7	MCM4
CCNE1	CUL3
EPB41L2	GRIA1
PDZD2	CTNND2
GNB5	GNG4
ARL6IP5	ARL6
PUM2	NANOS1
ARL6IP4	ARL6
ARL6IP1	ARL6
CNKSR2	LRRC7
UBXN11	RND1
PPP1CA	PHACTR3
ATL2	ARL6
ARL6IP6	ARL6
ERC2	PPFIA1
CDK14	SEPTIN8
MAST2	CDHR2
C6orf47	FGFR3
ATP6V1G2	ATP6V1E1
LMO2	MAPRE2
EWSR1	PRTFDC1
DCTD	LNX1
RBM10	PTBP2
LGALS8	CALCOCO2
DAZAP2	DCUN1D1
YWHAG	KIAA0408
PCBD1	NUDT18
LDOC1	LNX1
ZNF821	CCDC85B
ZNF446	ZSCAN32
NOL3	NOL3
LNX1	CUTC
PPP1R37	ZMYND19
NIF3L1	PRTFDC1
BRME1	C19orf25
SORBS3	KIAA0408
LURAP1	THAP7
FXR2	KCTD4
HK2	UBQLN1
RALYL	THAP1
RTL8A	UBQLN1
CALCOCO2	LNX1
RASSF8	FRMD6
CCNK	NECAB2
DTNB	NUP62
CEP19	KXD1
PAK5	TUBGCP4
FAM131C	DNAJA3
CEP63	MBIP
DLK2	ADAMTSL4
BRME1	RABL6
KHDRBS3	ZNF408
NT5C2	NUDT18
RTN1	FAM160A2
CAVIN2	NUDT18
DFFA	NECAB2
RALYL	LMO3
TADA2A	EXOC8
PLSCR1	DLK2
PSMA1	NECAB2
DNAL4	DYNLL2
BRME1	GPS2
AP2B1	KIAA0408
PACSIN1	PACSIN2
PAFAH1B2	PAFAH1B3
PDE9A	TRIM32
EWSR1	KHDRBS2
EMD	FATE1
HAAO	GAD1
USP2	HOOK2
EFEMP2	FAM107A
SRSF1	LNX1
ENOX1	NIF3L1
PLSCR1	NTN4
NINL	MAD1L1
ASMTL	TDO2
KHDRBS3	BAHD1
FLAD1	PRTFDC1
NUDT18	TIFA
TRIM23	BRME1
NUDT18	RAB3IL1
CALCOCO2	PIAS4
KHDRBS3	PSMF1
ZNF496	ZNF446
FATE1	RNF183
NADK	LNX1
RWDD4	KCTD17
TRIP13	TEX37
FXR2	RALYL
LZTS2	PAK5
EFEMP2	SGTB
TRIM37	FAM107A
CDC42EP1	RBPMS
FXR2	THAP1
UBE2I	DACH1
NUDT18	KXD1
LPXN	ZNF426
SFI1	RADIL
PRKAR1A	C2orf88
PDLIM1	GFAP
GABRD	UBQLN1
PDLIM4	RBPMS
GFAP	KIAA0408
LNX1	ENOX1
LDOC1	FAM107A
GLIS3	SUFU
NECAB2	CENPO
RBM10	FAM124A
RAB33A	RABAC1
USP2	BEND5
LRSAM1	TSG101
NECAB2	NTAQ1
RPIA	LNX1
KLHL12	SNX20
LDOC1	ZNF408
EFEMP2	PIDD1
ADAMTSL4	NTN4
CCDC85B	CCDC112
NCKIPSD	BAIAP2
IFIT3	IFIT1
NOL3	SIRPA
TADA2A	FAM107A
FXR2	C10orf62
CCDC85B	SYT17
NECAB2	VTA1
DVL2	ARHGEF39
KHDRBS3	CCDC33
PRMT8	PRMT8
TRIP13	CARD14
FAM107A	VIM
HNRNPC	RBM41
ZNF646	NINL
CCDC85B	ZNF426
KHDRBS3	LNX1
RGR	KIFBP
CDK4	CDKN2D
CDC42	CDC42EP1
RALYL	MCRS1
KIAA0408	ABI3
FAM124A	NKAP
PPP1R37	BEND7
DHPS	NUDT18
CCDC85B	LNX1
KIAA0408	BEGAIN
CDK5R1	TSC22D4
CDK18	CCDC85B
VCL	BRME1
EWSR1	RNF183
PAFAH1B3	LNX1
ARHGEF39	RBPMS
ZBTB43	LMO3
HSPB7	HSPB8
TPM1	KXD1
TXNL4A	RHEBL1
GSE1	NUDT18
NUDT18	APIP
VIM	GFAP
ZNF250	HOOK1
DACH1	NAGK
EWSR1	FAM131C
MMTAG2	THAP1
ZNF646	UBE2I
HOMER1	ABI3
PAFAH1B3	PAFAH1B3
TRIM37	BYSL
ZNF821	LURAP1
USP2	CCDC85B
KLHL12	LNX1
NADK	NUDT18
NONO	MAD1L1
ZMYND10	TSC22D4
BEND5	CTNNBIP1
NUDT18	KCTD13
GABPB1	LMO3
NKAP	THAP1
RALYL	RALYL
KCTD17	NIF3L1
RUNDC3A	AP2M1
SNAP29	LURAP1
SORBS2	YWHAE
TRIP13	LNX1
VIM	KIAA0408
CEP70	UTP14A
RALYL	C20orf27
AIMP2	LMO3
CCDC85B	RBM41
NOL4	CTBP2
KHDRBS3	NUDT18
KIAA0408	HOOK2
GRN	FAM131C
LNX1	TIFA
DTNB	CCDC85B
THAP1	THAP1
TPM3	KXD1
LNX1	RABAC1
AEBP2	RALYL
RTN1	PLEKHF2
PSME3	NUDT18
SYT17	CHMP4A
LMO2	MAPRE3
KXD1	ZC4H2
DHPS	EIF5A2
ZNF408	THAP1
IFFO1	RNF183
PCBD1	LNX1
PRKN	TRIP13
EWSR1	RAB37
HNRNPC	RALYL
GTPBP10	NECAB2
ZNF426	NINL
EFEMP2	LINGO1
S100A1	S100A1
NOL3	VASP
U2AF2	LURAP1
SGTA	NME3
LMO3	KXD1
ZCCHC12	APPBP2
ZNF24	ZNF446
LDB1	LMO3
LURAP1	BLOC1S6
DOCK10	LURAP1
LNX1	NAGK
AP2B1	THAP1
NECAB2	NECAB2
CCDC85B	LMO3
CCDC85B	KIAA0408
SMAD9	SMAD4
PHC2	LMO3
LNX1	KCTD13
ZBED1	NUDT18
AIMP2	LNX1
PDE9A	PHYHIPL
NECAB2	RCOR3
SYT17	NINL
LNX1	APIP
ZNF446	ZNF232
TCL1A	H2AW
RNF183	KXD1
KCTD17	LNX1
LNX1	DDX17
MAPRE2	NIF3L1
PRC1	TRIM37
GFAP	SH3YL1
NOL3	NIF3L1
TRIM23	LNX1
