# Graph Type: undirected
A	B
MAP2K4	FLNC
FNTA	ACVR1
GATA2	PML
RPA2	STAT3
ARFIP2	ARF3
ARFIP1	ARF3
ALDOA	XRN1
APP	APPBP2
CSF1R	GRB2
PRRC2A	GRB2
LSM1	NARS1
CAPN3	TTN
CTNNB1	MAGI1
RB1	CUX1
CDKN1A	TSG101
ORC4	MCM2
MCM2	ORC2
RPA2	MCM2
AKAP8	MCM2
MCM2	MCM2
RPA1	MCM2
RPA3	MCM2
ORC5	MCM2
MCM3	MCM2
CDC42	DOCK8
CDC42	TRIP10
HGS	CLTC
COL1A1	IGFBP3
COL1A1	TXN
ATF2	SMAD3
ATF2	SMAD4
CCND3	EIF3K
PPIB	CAMLG
CSRP1	CSRP1
INSR	CSK
IGF1R	CSK
EGFR	DCN
PCNA	GADD45A
TOP2B	TOPBP1
SNRPE	LSM3
SNRPE	LSM4
SNRPE	LSM5
EGR1	EP300
EGR1	CREBBP
EPB41	NUMA1
EEF1A1	EXOSC4
PLCG1	EEF1A1
EEF1D	KTN1
ANXA5	KDR
ESR1	SMARCA4
ESR1	DDX54
ESR1	DNTTIP2
FGFR1	FDPS
TGFB1	FNTA
FAS	SUMO1
ITGB1	FLNA
FRS3	FGFR1
NR3C1	SFN
TGFB1I1	NR3C1
ECD	NR3C1
CCNT1	GRN
GNAZ	RGS19
GNAI2	RGS19
GNAI3	RGS19
UBE2I	HSF2
PRRC2A	MAD2L2
P4HA2	PRRC2A
PRRC2A	C1QBP
PRRC2A	EIF3E
PRRC2A	GANAB
HNRNPA1	PRRC2A
PSMA3	PRRC2A
PRRC2A	HNRNPM
PRRC2A	MAN2C1
PRRC2A	SSR3
PRRC2A	DDX20
PRRC2A	UBAP2L
PRRC2A	IMMT
PRRC2A	PRMT2
QARS1	PRRC2A
PRRC2A	IFT88
BAG6	XRN1
YWHAQ	MEF2D
IGF1R	YWHAE
KRT18	CBL
DNAJB6	KRT18
LMNA	SREBF1
LMNA	NARF
BCR	AFDN
BCL2	BNIP2
BCL2	TP53BP2
BCL2	RTN4
BCL2	BECN1
PTPRC	SKAP1
XRCC6	XRCC5
XRCC6	CBX5
ATF7IP	MBD1
CHAF1A	MBD1
MITF	PIAS3
MITF	PATZ1
MITF	UBE2I
ANP32A	MAP1B
RB1	MCM7
MCM7	ORC3
RPA1	MCM7
MCM7	FHL2
MCM7	ORC2
ORC5	MCM7
CCN3	POLR2L
KMT2A	PPIE
PPP1R15A	KMT2A
KMT2A	KMT2A
RAP1GAP	AFDN
AFDN	NECTIN1
PFN1	AFDN
FOS	RELA
RELA	PIAS3
RELA	PPP1R13L
HNRNPA1	FEN1
NOP2	MCRS1
ETS1	DAXX
AKT2	APPL1
WIPF1	CTTN
SKI	SNW1
NRAS	RAP1GDS1
PPP4C	REL
FLT1	SHC1
MYO1C	CBL
PDE6D	RHOB
PDE6D	RHOA
RAP1GDS1	RHOA
LSM8	PGD
SELP	SNX17
PKD2	PKD2
PFN2	FHOD1
HUS1	PCNA
PRKAR1A	PRKAR1B
PRKAR1B	AKAP1
FER	TMF1
MAF	EP300
RAB5A	RABEP1
RAB5B	RIN3
PDE6D	RAP1A
RAP1GDS1	RAP1A
KRIT1	RAP1A
RGL2	RAP1B
PDE6D	RAP2B
RALA	EXOC8
RPA1	ORC2
RPA2	ORC2
HBP1	RB1
RB1	TRAP1
RB1	AATF
RB1	THOC1
HBP1	RBL2
RXRA	NRBF2
LMO2	KDM5A
LMO2	LMO2
TAL1	LMO2
RPS25	UPF2
RPLP1	RPLP2
RPLP2	RPLP2
ARFRP1	CYTH1
SNRPA	SNRPA
CLU	CLU
CLU	TGFBR2
TGFBR1	FKBP1A
YY1	FKBP1A
FKBP2	ARFGEF1
PRKAR1A	AKAP1
PRKAR1A	MYO7A
AKAP10	PRKAR1A
APBB1	TFCP2
NFYB	CEBPZ
ABL1	ATM
HRAS	RAP1GDS1
KRAS	RAP1GDS1
TGFBR1	TGFBR2
TNFAIP3	TAX1BP1
TP53	WWOX
TNFRSF1A	PSMD2
KDR	SHC2
SHC1	DDR2
FLNA	VHL
VHL	VBP1
VHL	JADE1
XRCC1	LIG3
XRCC1	PNKP
ZNF24	ZNF174
MYO7A	VEZT
RAD23A	XPC
FLNA	CMIP
TRIO	FLNA
HCFC1	GABPA
USP11	RANBP9
SFPQ	NONO
PDPK1	PRKCI
CASK	ID1
ERBB4	DLG3
LRPPRC	UXT
SUV39H1	CBX5
UBE3A	UBQLN2
RAB9A	RABEPK
TTC19	UPF3B
UPF3B	UPF2
MCRS1	UPF3B
DMD	DTNA
WAS	TRIP10
PQBP1	TXNL4A
PQBP1	WBP11
PHYH	F8
UBE2I	FMR1
FXR1	FMR1
MSN	TSC1
ASS1	ARAF
ARAF	MAP2K2
ARAF	COPS3
UBTF	TAF1
CBX3	LBR
CBX5	LBR
KLC1	MAPK8IP3
SNTB2	ERBB4
BCL2L1	BNIP3
BCL2L1	RTN4
ABCA1	FADD
TBP	TAF13
SHC1	PTPN12
PXN	PTPN12
TUFT1	TFIP11
NFE2L2	CREBBP
TDG	CREBBP
AP1G1	AP1B1
CDKN2A	PPP1R9B
STAT5A	JAK3
TLE5	PTRH2
IL6ST	TLE1
DVL1	EPS8
FASN	FASN
HIRA	UPF1
HIRA	NFU1
COIL	ATXN1
PEX19	PEX16
NUBP1	NDN
GARS1	IARS1
HTRA2	MAPK14
MAPK14	DUSP10
PCM1	BBS4
LSM1	PSMB5
CSTF2	SUB1
XRCC2	RAD51D
ID2	TCF12
TCF4	ID2
PEX12	PEX5
PEX5	PEX13
ARFIP2	ARF6
NFE2L2	PMF1
NFE2L2	EIF2AK3
LSM8	IGHMBP2
NCK1	MINK1
KPNA4	RECQL
RECQL	KPNA2
PIAS1	STAT1
SHC1	MAPKAPK2
TIAM1	PPP1R9B
HNRNPL	PTBP1
IFI35	NMI
SYN2	SYN2
TTF1	CAVIN1
CDKN1B	NUP50
FXR1	CYFIP2
INPPL1	SORBS1
SPEN	NCOR2
ZBTB16	NCOR2
HAP1	DCTN1
HGS	HAP1
COPB1	COPG1
SMAD4	DCP1A
MAZ	BPTF
TJP1	F11R
ADAM17	DLG1
NPC2	DHDDS
LSM6	SNRPD2
SNRPD3	LSM7
LSM3	SNRPD3
LSM8	SNRPD1
MPP3	CADM1
MAPK8	DUSP10
RANBP1	RAN
TGFB1I1	PTK2B
MTOR	UBQLN1
BIN1	SNX4
BMPR1A	SF3B4
HNRNPD	LSM5
DVL1	HECW1
VPS37A	TSG101
ETV6	KAT5
SKP1	CACYBP
PPP1R15A	BAG1
GRB10	GIGYF2
EP300	PROX1
ATXN1	UBQLN4
ANP32A	ATXN1
ATXN1	USP7
RALGDS	RIT1
MRAS	RALGDS
RAD23A	PSMD4
RAD23B	PSMD4
THRB	PSMC5
XRN1	SMARCD2
CUL5	RNF7
TRIM28	SETDB1
PEX7	PHYH
PEX12	PEX10
STK19	SP3
MCM6	MCM6
BCL2L11	BCL2L2
PSMB1	EXOSC6
PSMB1	DCP2
PPP1R12A	IL16
CBX4	RING1
RAC1	DOCK8
RAP1GDS1	RAC1
ARFIP2	RAC1
RAC2	CUL1
LSM8	TALDO1
PRMT5	CLNS1A
KIF22	SIAH1
SIAH1	CACYBP
ILK	ILKAP
LIMS1	ILK
UBE2I	BLMH
SLBP	ERI1
SCAMP1	ITSN1
CCNT1	HEXIM1
SNAP23	SNAPIN
XPO1	RANBP3
GOLGA2	GORASP2
MAGOH	RBM8A
SFPQ	FHL2
EED	PPP1R8
RND3	ARHGAP5
HNRNPAB	TP63
ORC5	MCM3
ORC4	MCM3
EP300	CITED2
PRKAG1	PRKAB1
PRKAG2	PRKAB1
PRKAB2	PRKAG1
PRKAB2	PRKAG2
PRKAG1	PRKAG2
UBE2I	DNMT3A
RNF4	PATZ1
SAFB2	SAFB
MAPK10	MAPK8IP3
HDAC3	MAPK11
SAP18	POLE2
BTG1	PRMT1
TLR5	RNF216
ABI1	ENAH
SLC31A1	SLC31A1
DUSP11	SRSF7
SMAD3	NEDD9
CUL1	RNF7
PNN	SRRM2
MCL1	BAD
MCRS1	DAXX
CHD4	XRN1
TNKS	FNBP1
PABPC4	XRN1
BCL10	CARD19
AP1G2	AP1S1
AP1G1	AP1S1
AP1G1	AP1S2
AP1G2	AP1S2
AP1G2	XRN1
VAMP4	AP1M1
GPN1	MBD2
UBOX5	UBE2L3
DNM1L	GSK3B
CCNT2	HEXIM1
CUL4A	RNF7
CUL2	RNF7
RAB27A	SYTL4
ZNF174	ZNF174
FNBP1	AKAP9
ZBTB17	DIS3
ERBIN	PKP4
PLXNB2	ARHGEF11
LSM1	GRHPR
VPS37C	HGS
PABPC1	ANAPC5
EED	ITGAE
TOM1	TOLLIP
STK16	NAGK
ABI1	NCKAP1
GSK3B	UPF3A
P4HB	UBQLN1
TARBP2	TARBP2
EEA1	RAB22A
CNKSR1	RASSF1
MVP	PARP4
EED	HDAC2
ADAM15	SNX9
IFITM2	UPF3A
TRIM10	TRIM10
RHOQ	GOPC
RHOQ	EXOC7
PBLD	STRAP
XRN2	TOLLIP
PINX1	MCRS1
PRDX4	PRDX4
ZMYND8	FHOD1
TRPM7	PLCB1
AP4E1	AP4B1
LSM1	VPS11
LSM1	EXOSC8
LSM1	EXOSC6
LSM1	N4BP1
LSM1	LSM2
LSM8	LSM2
LSM3	LSM2
LSM7	LSM2
LSM3	LSM7
LSM3	XRN2
LSM3	LSM10
XRN1	LSM4
LSM6	MCRS1
POLD2	LSM6
EXOSC8	LSM7
RAB29	LSM7
EXOSC6	LSM7
LSM8	KCTD3
LSM8	EXOSC6
LSM8	DCP1A
LSM8	THUMPD3
LRPPRC	MAP1S
LRPPRC	HEBP2
HSPB1	HSPB8
CCT5	XRN1
PPFIA1	GIT1
SYNCRIP	PTPN11
NPLOC4	UFD1
ATF4	TRIB3
PARN	SPATC1L
SFPQ	EXOSC5
THRB	NCOA2
THRB	NRBF2
NEDD9	ITCH
EED	TGS1
EPS15	RNF11
USP33	DIO2
UBE2I	CHD3
UBE2I	TOPORS
PER1	CRY1
PER2	CRY1
ARNTL	CRY1
CHD3	SERBP1
HSF1	SYMPK
LMO4	RBBP8
EPB41L2	FKBP2
GNB5	GNG5
GNB5	GNG3
GNB5	GNG7
RABEPK	PIKFYVE
ARF3	GGA2
SORT1	GGA2
EXOSC6	EXOSC8
EXOSC7	EXOSC6
ZNF496	NSD1
PUM2	PUM2
RNF34	DNAJA3
SYNE1	SYNE1
RELA	ING4
COPZ1	COPG1
EXOC8	EXOC2
EXOSC6	DNAJC30
DXO	XRN2
XRN2	UPF2
ZHX3	ZHX1
MAPKAPK2	PHC2
ARPC5	ARPC4
ZHX1	ZHX1
THOC7	NIF3L1
TSG101	GGA3
SMARCA4	ARID1B
PRPF6	TXNL4B
DNMBP	EVL
VPS37A	VPS28
TAF10	TAF13
EXOSC6	EXOSC1
TLK1	ASF1A
ASF1B	TLK1
GOLGA3	GOLGA7
RNF5	FHOD1
STK19	POLE
STK19	POLR2G
STK19	SLC29A1
CLIC1	LSM1
CSNK2A2	CSNK2B
LYN	CSNK2B
CSNK2B	CSNK2B
MBD4	CSNK2B
GORASP2	TSC22D4
BNIP3L	DOK5
CFL1	ACTB
ZNF250	CCDC85B
CLUAP1	CINP
CCNK	DVL3
MOAP1	MAGEH1
L3MBTL2	MEAF6
TRIP10	WBP11
ZSCAN32	ZSCAN32
POM121	CERT1
PLSCR1	CPSF6
ZBED1	SPEF1
CALCOCO2	FBF1
CBS	VTA1
PDCD10	STK24
TRIP13	C11orf54
CEBPG	MLLT6
HGS	EXOC7
CCDC85B	KANSL1
KXD1	MAP1LC3B
EWSR1	ZDHHC3
ATF4	GPS2
SAT1	RBM17
NUDT21	MYL6
PRKCI	PARD6A
RBPMS	STRBP
CCDC85B	NEK6
GPRIN2	TRIP13
RBPMS	TOLLIP
ITM2C	RNF7
RTN3	FXR2
TLK1	TLK1
GYS1	GYG1
GSTM3	GSTM3
PHKB	C20orf27
QPRT	SUFU
MVK	MVK
TESC	HMG20A
ZC3H14	EXOC7
DCAF8	GTPBP3
ARHGEF15	MOB4
PLSCR1	ANXA11
TIFA	AP1M1
SFN	BAD
KAT7	VIM
VIM	TCHP
PLSCR1	RASD1
CCDC85B	PBXIP1
DVL2	PCBD1
CTPS2	CTPS2
CCDC85B	NIF3L1
CCNK	TSC22D4
GADD45A	DCTN2
CPSF6	GIN1
KLHL12	PRR13
PHF10	L3MBTL2
TRIM23	TRIM23
PCBD1	PCBD1
RBPMS	LZTS2
NUP62	NUP54
GABARAPL2	MLX
NME1	NTAQ1
PBX3	AGTRAP
PIAS2	NAV2
KLHL12	KLHL12
SEPTIN2	DAZAP2
APPL2	APPL1
CCNK	CCDC85B
DVL2	USP5
PLSCR1	CRY1
NTAQ1	DCTPP1
PLSCR1	SLC25A6
BLOC1S6	WASHC3
MAPK1IP1L	MAPK1IP1L
ZNF655	INTS13
VTI1B	STX8
ACTB	CFL2
DAZAP2	DAZAP2
CCDC85B	ZNF337
PLSCR1	PGLS
FXR2	RBPMS
CTBP2	BAZ2B
UBE2I	MAPK1IP1L
PLOD3	CCDC85B
PDCD6	HEBP2
PSME2	PSME2
CYTH3	CNKSR1
BEX3	CCDC85B
FHIT	FHIT
LDOC1	FAM193B
DVL2	POLI
PSMF1	PDLIM7
MYO1F	EWSR1
KAT7	CEP70
EWSR1	KXD1
EPS8	BLOC1S6
EMC8	EMC2
FXR2	AP1M1
ABLIM1	VIM
VIM	NIF3L1
NFYB	DRAP1
ACTB	ACTB
SGTA	SPP1
GTPBP3	SINHCAF
