# Graph Type: undirected
DAB1	APLP1
TFAP2A	CITED2
TFAP2A	EP300
ARRB2	RALGDS
ARVCF	CDH15
PCBD1	CACNA1C
CAPN1	PSEN2
MCM5	MCM2
CDC7	MCM2
CDK2	CDKN3
CCNB1	RALBP1
ARNT	SIM2
ZBTB16	HBEGF
ESR1	PPARGC1B
FTL	MPP6
FGA	PRRC2A
GABARAP	GABRG2
SDCBP	GRIK2
GRIK2	PICK1
GRIK1	PICK1
SDCBP	GRIK1
GNAO1	RGS19
LIMK1	NRG1
FGF7	HSPG2
CCR10	PRRC2A
HTT	SETD2
HTT	HAP1
HTT	ZDHHC17
HTT	HYPK
HTT	TRIP10
TCF3	ID3
IGF1R	IRS1
IRS1	PTK2
IRS1	MAPK8
INSR	IRS1
PRMT5	JAK2
KRT8	BYSL
LYL1	NFKB1
ALOX5	COTL1
XRCC6	VAV1
PIAS4	LEF1
MITF	LEF1
LOX	DHDDS
MC4R	ATRNL1
CDC7	MCM7
NGFR	PRKACB
NPY1R	LSM7
NUMA1	EPB41L1
NFKB1	MAP3K8
AKT1	PLXNA1
CTTN	SHANK2
MET	GLMN
PAX9	KDM5B
KALRN	PAM
PPARA	NRBF2
PIK3CA	PIK3R3
TRPC1	PKD2
KCNA4	DLG1
PTPRB	MAGI3
PDPK1	PRKCZ
PRKCZ	WWC1
RHOG	ARHGDIG
RAD51	DMC1
TOP3B	SNRPB
UNC13B	STX1A
TAL1	NCAPG2
E2F1	NDN
ABL1	NTRK1
CDH1	CBLL1
ZNF10	TRIM28
TRIM24	ZNF10
MEFV	COG5
AR	FLNA
AGTR2	MTUS1
BMX	PTPN21
TRO	BYSL
CASK	TBR1
LRP2	DLG3
NCS1	IL1RAPL1
ARHGEF11	PLXNB3
KLF8	CTBP2
SH3KBP1	SH3GL3
ARHGEF9	GPHN
FMR1	NUFIP1
POLA1	RBMS1
RPGR	RPGRIP1
PDE6D	RPGR
AP1G1	SYP
AR	RAN
AR	NR2C2
AR	NCOA3
AR	RNF4
AR	NCOA4
AR	PAK6
AR	RANBP9
AR	RCHY1
