# Graph Type: undirected
ACTN2	MYPN
ARF1	GGA3
TFAP2A	CITED2
TFAP2A	EP300
ARRB2	RALGDS
GIPC1	ADRB1
PCBD1	CACNA1C
CAPN1	PSEN2
CA8	ITPR1
CDK2	CDKN3
CCNB1	RALBP1
ZBTB16	HBEGF
ESR1	PPARGC1B
FGA	PRRC2A
SDCBP	GRIK2
GRIK2	PICK1
GNAO1	RGS19
FGF7	HSPG2
HTT	SETD2
HTT	HAP1
HTT	ZDHHC17
HTT	HYPK
HTT	TRIP10
TCF3	ID3
IGF1R	IRS1
SOCS1	IGF1R
IRS1	PTK2
IRS1	MAPK8
INSR	IRS1
PRMT5	JAK2
SOCS1	JAK2
KRT8	BYSL
LOX	DHDDS
MC4R	ATRNL1
NEB	MYPN
NUMA1	EPB41L1
NFKB1	MAP3K8
AKT1	PLXNA1
SOCS1	CSF1R
MET	GLMN
PPARA	NRBF2
PIK3CA	PIK3R3
APOA1	PDE1A
TRPC1	PKD2
PTPRB	MAGI3
PDPK1	PRKCZ
PRKCZ	WWC1
RHOG	ARHGDIG
ANK1	OBSCN
UNC13B	STX1A
SIVA1	CD27
TAL1	NCAPG2
TCAP	TTN
E2F1	NDN
SRC	EPHB2
TNNT1	TNNC1
MEFV	COG5
AR	FLNA
FLNA	CASR
AGTR2	MTUS1
BMX	PTPN21
ACTN3	MYPN
CASK	TBR1
LRP2	DLG3
KLF8	CTBP2
TIMM8A	STAM
SH3KBP1	SH3GL3
ARHGEF9	GPHN
FMR1	NUFIP1
POLA1	RBMS1
RPGR	RPGRIP1
PDE6D	RPGR
AR	RAN
AR	NR2C2
AR	NCOA3
AR	RNF4
AR	NCOA4
AR	PAK6
AR	RANBP9
AR	RCHY1
PIAS2	AR
YY1	YAF2
BCL2L1	AVEN
LRP2	MAGI1
LRP2	ANKRA2
DAB2	LRP2
PSTPIP1	PTPN12
PDE4D	PDE4DIP
HNF4A	CREBBP
TIAF1	JAK3
CENPF	CENPF
PTPN13	PKN2
DSC3	PKP4
HNF4A	ZNHIT3
BCAR1	RAPGEF1
MSC	ID2
NCBP2	NCBP1
KCNJ4	DLG4
DLG4	ERBB4
YAP1	ERBB4
KCNJ2	DLG4
SERPINH1	UBQLN4
COPB1	COPG2
DAB2	MYO6
CSPG4	GRIP2
BIN1	ITGA3
BCAR1	YWHAZ
PGR	UBE3A
LSM8	GTF2I
PEG10	SIAH1
SIAH2	PEG10
NEDD4	UBE2D2
NRIP1	NR0B1
COPB2	RGS4
MAP2K5	MAP3K3
PDE6D	RND1
PPL	KAZN
E2F6	RYBP
TLR4	RNF216
FANCA	SMARCA4
TRADD	TNFRSF25
ITGA3	RABIF
RIPK1	RIPK3
LSM7	MYH13
BCL10	MALT1
HIC1	HIC1
TROAP	BYSL
PLXNB2	RND1
COPG2	COPG1
AKAP3	GNA13
GADD45G	GADD45GIP1
PACSIN3	PACSIN2
NBL1	UBQLN1
FHL5	FHL5
FEZ1	DISC1
MCL1	BOK
TLR9	RNF216
ABI3BP	ABI3
PACSIN1	PACSIN3
PACSIN1	PACSIN1
LSM8	COL23A1
RARA	NRBF2
RARA	ZBTB16
RARA	MECR
LOXL1	FBLN5
MT2A	PRKD1
NPR1	PRKG1
MT-ND2	SRC
PAWR	THAP1
CCNE1	CUL3
PDZD2	CTNND2
GNB5	GNG4
