# Graph Type: undirected
ARF1	GGA3
DAB1	APLP1
ARRB2	RALGDS
GIPC1	ADRB1
PCBD1	CACNA1C
CAPN1	PSEN2
CDC7	MCM2
CDK2	CDKN3
CCNB1	RALBP1
ARNT	SIM2
ZBTB16	HBEGF
ESR1	PPARGC1B
FGA	PRRC2A
GABARAP	GABRG2
PFKFB2	GCK
SDCBP	GRIK2
GRIK2	PICK1
GRIK1	PICK1
SDCBP	GRIK1
GNAO1	RGS19
LIMK1	NRG1
CCR10	PRRC2A
HTT	SETD2
HTT	HAP1
HTT	ZDHHC17
HTT	HYPK
HTT	TRIP10
TCF3	ID3
IGF1R	IRS1
IRS1	PTK2
IRS1	MAPK8
INSR	IRS1
PRMT5	JAK2
KRT8	BYSL
LYL1	NFKB1
ALOX5	COTL1
XRCC6	VAV1
PIAS4	LEF1
MITF	LEF1
MC4R	ATRNL1
CDC7	MCM7
NUMA1	EPB41L1
AKT1	PLXNA1
ETS2	CDK10
CTTN	SHANK2
MET	GLMN
FOXG1	KDM5B
KALRN	PAM
PPARA	NRBF2
PIK3CA	PIK3R3
APOA1	PDE1A
TRPC1	PKD2
PTPRB	MAGI3
PDPK1	PRKCZ
PRKCZ	WWC1
RHOG	ARHGDIG
UNC13B	STX1A
E2F1	NDN
SRC	EPHB2
ZNF10	TRIM28
TRIM24	ZNF10
MEFV	COG5
AR	FLNA
TRO	BYSL
SMAD4	CITED1
CASK	TBR1
LRP2	DLG3
NCS1	IL1RAPL1
ARHGEF11	PLXNB3
UNC5A	MAGED1
SH3KBP1	SH3GL3
ARHGEF9	GPHN
FMR1	NUFIP1
POLA1	RBMS1
RPGR	RPGRIP1
PDE6D	RPGR
MPDZ	HTR2C
AP1G1	SYP
AR	RAN
AR	NR2C2
AR	NCOA3
AR	RNF4
AR	NCOA4
AR	PAK6
AR	RANBP9
AR	RCHY1
PIAS2	AR
INSM1	SORBS1
YY1	YAF2
BCL2L1	AVEN
BCL2L1	RTN1
LRP2	MAGI1
LRP2	ANKRA2
LRP2	LRP2BP
DAB2	LRP2
LRP2	DLG2
PDE4D	PDE4DIP
TIAF1	JAK3
TLE1	HES6
PTPN13	PKN2
DSC3	PKP4
BCAR1	RAPGEF1
KCNJ4	DLG4
NCK1	EPHB1
DLG4	ERBB4
YAP1	ERBB4
ERBB4	DLG2
KCNJ2	DLG4
PSEN2	KCNIP3
LIMK1	BMPR2
CDKN1C	LIMK1
UGCG	RTN1
COPB1	COPG2
DAB2	MYO6
ARHGEF11	PLXNB1
CSPG4	GRIP2
BIN1	ITGA3
BCAR1	YWHAZ
LSM8	GTF2I
TRAF1	HIVEP3
RFXAP	RFX5
PTK6	STAP2
PEG10	SIAH1
DNM2	SHANK2
IPCEF1	CYTH2
COPB2	RGS4
MAP2K5	MAP3K3
PDE6D	RND1
CLSTN1	APBA2
FYB1	SKAP1
SMAD7	PIAS4
TRIP6	LPAR2
E2F6	RYBP
TLR4	RNF216
FANCA	SMARCA4
ARHGEF7	SHANK2
TRADD	TNFRSF25
ITGA3	RABIF
RIPK1	RIPK3
LSM7	MYH13
TROAP	BYSL
PLXNB2	RND1
COPG2	COPG1
GADD45G	GADD45GIP1
UNC13B	SPTBN2
NBL1	UBQLN1
URI1	DMAP1
FEZ1	DISC1
MCL1	BOK
TLR9	RNF216
RAB11A	RAB11FIP4
ABI3BP	ABI3
PACSIN1	PACSIN1
CSPG5	GOPC
IPO13	PAX6
OSTM1	RGS17
RGS20	OSTM1
CDC7	ORC6
LSM8	COL23A1
LRPPRC	CECR2
MT2A	PRKD1
MT-ND2	SRC
DTNB	KIF5A
CDC7	MCM4
CCNE1	CUL3
EPB41L2	GRIA1
PDZD2	CTNND2
GNB5	GNG4
ARL6IP5	ARL6
PUM2	NANOS1
ARL6IP4	ARL6
ARL6IP1	ARL6
CNKSR2	LRRC7
UBXN11	RND1
PPP1CA	PHACTR3
ATL2	ARL6
ARL6IP6	ARL6
ERC2	PPFIA1
CDK14	SEPTIN8
MAST2	CDHR2
STK19	PRAME
C6orf47	FGFR3
ATP6V1G2	ATP6V1E1
LMO2	MAPRE2
EWSR1	PRTFDC1
DCTD	LNX1
RBM10	PTBP2
GADD45G	RWDD2B
LGALS8	CALCOCO2
DAZAP2	DCUN1D1
PCBD1	NUDT18
LDOC1	LNX1
ZNF821	CCDC85B
ZNF446	ZSCAN32
NOL3	NOL3
LNX1	CUTC
NIF3L1	PRTFDC1
LURAP1	THAP7
FXR2	KCTD4
HK2	UBQLN1
RTL8A	UBQLN1
CALCOCO2	LNX1
RASSF8	FRMD6
CCNK	NECAB2
DTNB	NUP62
CEP19	KXD1
PAK5	TUBGCP4
FAM131C	DNAJA3
CEP63	MBIP
DLK2	ADAMTSL4
KHDRBS3	ZNF408
NT5C2	NUDT18
RTN1	FAM160A2
CAVIN2	NUDT18
DFFA	NECAB2
RALYL	LMO3
TADA2A	EXOC8
PLSCR1	DLK2
PSMA1	NECAB2
DNAL4	DYNLL2
CCDC85B	CFAP53
PACSIN1	PACSIN2
GADD45G	TSNAX
PAFAH1B2	PAFAH1B3
PDE9A	TRIM32
EWSR1	KHDRBS2
PDLIM7	PAK5
HAAO	GAD1
USP2	HOOK2
ACCS	ACCS
EFEMP2	FAM107A
SRSF1	LNX1
ENOX1	NIF3L1
KHDRBS3	BAHD1
FLAD1	PRTFDC1
NUDT18	TIFA
NUDT18	RAB3IL1
EWSR1	MNS1
CALCOCO2	PIAS4
KHDRBS3	PSMF1
