# Graph Type: undirected
ARF1	GGA3
TFAP2A	CITED2
TFAP2A	EP300
ARRB2	RALGDS
SLC4A1	SLC4A1AP
GIPC1	ADRB1
CAPN1	PSEN2
CA8	ITPR1
MCM5	MCM2
CDC7	MCM2
CDK2	CDKN3
ARNT	SIM2
ARNT	SIM1
ZBTB16	HBEGF
ESR1	PPARGC1B
FGA	PRRC2A
SLC2A2	KPNA2
GNAO1	RGS19
TCF3	ID3
IGF1R	IRS1
SOCS1	IGF1R
IRS1	PTK2
IRS1	MAPK8
INSR	IRS1
PRMT5	JAK2
SOCS1	JAK2
KRT8	BYSL
LYL1	NFKB1
ALOX5	COTL1
PIAS4	LEF1
MITF	LEF1
LOX	DHDDS
CDC7	MCM7
NPY1R	LSM7
NUMA1	EPB41L1
NFKB1	MAP3K8
AKT1	PLXNA1
ETS2	CDK10
CTTN	SHANK2
SOCS1	CSF1R
MET	GLMN
PPARA	NRBF2
PIK3CA	PIK3R3
TRPC1	PKD2
PTPRB	MAGI3
PDPK1	PRKCZ
PRKCZ	WWC1
SLC17A1	PDZK1
SIVA1	CD27
E2F1	NDN
SRC	EPHB2
ZNF10	TRIM28
TRIM24	ZNF10
MEFV	COG5
AR	FLNA
FLNA	CASR
AGTR2	MTUS1
TRO	BYSL
LRP2	DLG3
KLF8	CTBP2
TIMM8A	STAM
SH3KBP1	SH3GL3
ARHGEF9	GPHN
FMR1	NUFIP1
POLA1	RBMS1
RPGR	RPGRIP1
PDE6D	RPGR
AR	RAN
AR	NR2C2
AR	NCOA3
AR	RNF4
AR	NCOA4
AR	PAK6
AR	RANBP9
AR	RCHY1
PIAS2	AR
YY1	YAF2
LRP2	MAGI1
LRP2	ANKRA2
DAB2	LRP2
HNF4A	CREBBP
PTPN13	PKN2
HNF4A	ZNHIT3
BCAR1	RAPGEF1
NCK1	EPHB1
YAP1	ERBB4
S100P	S100P
PSEN2	KCNIP3
SERPINH1	UBQLN4
DAB2	MYO6
ARHGEF11	PLXNB1
PDZK1	ABCC2
BIN1	ITGA3
BCAR1	YWHAZ
TFAP2C	CITED2
