# Graph Type: undirected
ARF1	GGA3
TFAP2A	CITED2
TFAP2A	EP300
APOB	MTTP
ARRB2	RALGDS
ARVCF	CDH15
CAPN1	PSEN2
MCM5	MCM2
CDK2	CDKN3
ARNT	SIM2
ESR1	PPARGC1B
FGA	PRRC2A
GABARAP	GABRG2
PFKFB2	GCK
SLC2A2	KPNA2
GNAO1	RGS19
HTT	SETD2
HTT	HAP1
HTT	ZDHHC17
HTT	HYPK
HTT	TRIP10
TCF3	ID3
IGF1R	IRS1
SOCS1	IGF1R
IRS1	PTK2
IRS1	MAPK8
INSR	IRS1
BCL2	BNIPL
LYL1	NFKB1
ALOX5	COTL1
XRCC6	VAV1
NGFR	PRKACB
NPY1R	LSM7
NFKB1	MAP3K8
AKT1	PLXNA1
ETS2	CDK10
CTTN	SHANK2
SOCS1	CSF1R
PAX5	TLE4
PPARA	NRBF2
PIK3CA	PIK3R3
PTPRB	MAGI3
PDPK1	PRKCZ
PRKCZ	WWC1
RAD51	DMC1
TOP3B	SNRPB
SLC17A1	PDZK1
UNC13B	STX1A
SIVA1	CD27
E2F1	NDN
MEFV	COG5
AR	FLNA
FLNA	CASR
AGTR2	MTUS1
TIMM8A	STAM
SH3KBP1	SH3GL3
ARHGEF9	GPHN
RPGR	RPGRIP1
PDE6D	RPGR
AP1G1	SYP
AR	RAN
AR	NR2C2
AR	NCOA3
AR	RNF4
AR	NCOA4
AR	PAK6
AR	RANBP9
AR	RCHY1
PIAS2	AR
YY1	YAF2
BCL2L1	AVEN
PSTPIP1	PTPN12
HNF4A	CREBBP
AIRE	CREBBP
TIAF1	JAK3
TLE1	FOXA2
DSC3	PKP4
HNF4A	ZNHIT3
BCAR1	RAPGEF1
NCK1	EPHB1
YAP1	ERBB4
AP2M1	LY9
DAB2	MYO6
ARHGEF11	PLXNB1
PDZK1	ABCC2
BCAR1	YWHAZ
PEG10	SIAH1
SIAH2	PEG10
NEDD4	UBE2D2
DNM2	SHANK2
COPB2	RGS4
TOLLIP	IL1RAP
PDE6D	RND1
NCOA1	NR1H4
MCM3	MCM5
