# Graph Type: undirected
ARF1	GGA3
TFAP2A	CITED2
TFAP2A	EP300
ARRB2	RALGDS
GIPC1	ADRB1
CAPN1	PSEN2
MCM5	MCM2
CDC7	MCM2
ZBTB16	HBEGF
ESR1	PPARGC1B
FGA	PRRC2A
FGF7	HSPG2
CCR10	PRRC2A
TCF3	ID3
IGF1R	IRS1
SOCS1	IGF1R
IRS1	PTK2
IRS1	MAPK8
INSR	IRS1
PRMT5	JAK2
SOCS1	JAK2
LMNA	LMNB1
BCL2	BNIPL
LYL1	NFKB1
ALOX5	COTL1
XRCC6	VAV1
XRCC6	NCF4
XRCC6	MRE11
PIAS4	LEF1
MITF	LEF1
LOX	DHDDS
CDC7	MCM7
NUMA1	EPB41L1
NFKB1	MAP3K8
AKT1	PLXNA1
ETS2	CDK10
CTTN	SHANK2
SOCS1	CSF1R
PAX5	TLE4
PPARA	NRBF2
PIK3CA	PIK3R3
TRPC1	PKD2
PTPRB	MAGI3
PDPK1	PRKCZ
PRKCZ	WWC1
UNC13B	STX1A
SIVA1	CD27
TXN	NCF4
E2F1	NDN
SRC	EPHB2
AR	FLNA
AGTR2	MTUS1
LRP2	DLG3
KLF8	CTBP2
XPO1	NXF3
SH3KBP1	SH3GL3
ARHGEF9	GPHN
FMR1	NUFIP1
POLA1	RBMS1
RPGR	RPGRIP1
PDE6D	RPGR
AR	RAN
AR	NR2C2
AR	NCOA3
AR	RNF4
AR	NCOA4
AR	PAK6
AR	RANBP9
AR	RCHY1
PIAS2	AR
YY1	YAF2
BCL2L1	AVEN
BCL2L1	RTN1
BAX	BCL2A1
LRP2	MAGI1
LRP2	ANKRA2
DAB2	LRP2
PSTPIP1	PTPN12
PDE4D	PDE4DIP
TLE1	FOXA2
PTPN13	PKN2
BCAR1	RAPGEF1
NCBP2	NCBP1
DLG4	ERBB4
YAP1	ERBB4
S100P	S100P
KCNJ2	DLG4
AP2M1	LY9
UGCG	RTN1
SERPINH1	UBQLN4
DAB2	MYO6
ARHGEF11	PLXNB1
BCL2A1	BOK
BCL2A1	BAD
CSPG4	GRIP2
BIN1	ITGA3
BCAR1	YWHAZ
PPARG	NCOA4
TFAP2C	CITED2
PGR	UBE3A
TRAF1	HIVEP3
PTK6	STAP2
PEG10	SIAH1
SIAH2	PEG10
NEDD4	UBE2D2
DNM2	SHANK2
IPCEF1	CYTH2
MAP2K5	MAP3K3
TOLLIP	IL1RAP
PDE6D	RND1
MCM3	MCM5
CDC7	MCM5
FYB1	SKAP1
PPL	KAZN
SMAD7	PIAS4
TRIP6	LPAR2
E2F6	RYBP
TLR3	RNF216
TLR4	RNF216
ARHGEF7	SHANK2
TRADD	TNFRSF25
ITGA3	RABIF
RIPK1	RIPK3
BCL10	MALT1
HIC1	HIC1
PLCB2	TRPM7
PLXNB2	RND1
GADD45G	GADD45GIP1
NBL1	UBQLN1
FHL5	FHL5
FEZ1	DISC1
MCL1	BOK
TLR9	RNF216
ABI3BP	ABI3
CSPG5	GOPC
CDC7	ORC6
LRPPRC	CECR2
RARA	NRBF2
RARA	ZBTB16
LOXL1	FBLN5
MT2A	PRKD1
NPR1	PRKG1
MT-ND2	SRC
CDC7	MCM4
EPB41L2	GRIA1
GNB5	GNG4
ARL6IP5	ARL6
ARL6IP4	ARL6
ARL6IP1	ARL6
COPZ2	COPG1
UBXN11	RND1
PPP1CA	PHACTR3
ATL2	ARL6
ARL6IP6	ARL6
TNNI3	PKD2L1
C6orf47	FGFR3
CALCOCO2	TP53RK
LMO2	MAPRE2
EWSR1	PRTFDC1
TRIM29	CRACR2A
DCTD	LNX1
RBM10	PTBP2
GADD45G	RWDD2B
LGALS8	CALCOCO2
DTX2	RBPMS
PCBD1	NUDT18
LDOC1	LNX1
ZNF821	CCDC85B
ZNF446	ZSCAN32
AGR2	POM121
VSNL1	DTX2
NOL3	NOL3
LNX1	CUTC
FHL3	PHC2
NIF3L1	PRTFDC1
HOXB6	SAT1
LURAP1	THAP7
ZNRD2	CCNH
HK2	UBQLN1
PLSCR1	DTX2
RTL8A	UBQLN1
CALCOCO2	LNX1
RASSF8	FRMD6
DAZAP2	TENT5C
CEP63	MBIP
DLK2	ADAMTSL4
NT5C2	NUDT18
RTN1	FAM160A2
CAVIN2	NUDT18
TADA2A	EXOC8
PLSCR1	DLK2
DNAL4	DYNLL2
CCDC85B	CFAP53
GADD45G	TSNAX
DAZAP2	BATF2
PAFAH1B2	PAFAH1B3
HGS	KRT19
PDE9A	TRIM32
EWSR1	KHDRBS2
CIAO1	CCDC7
USP2	HOOK2
SFI1	KRT19
ACCS	ACCS
EFEMP2	FAM107A
SRSF1	LNX1
PLSCR1	NTN4
NINL	MAD1L1
KHDRBS3	BAHD1
FLAD1	PRTFDC1
NUDT18	TIFA
S100A1	S100P
KRT19	ABI2
NUDT18	RAB3IL1
CALCOCO2	PIAS4
KHDRBS3	PSMF1
ZNF496	ZNF446
NADK	LNX1
STX11	TAF6L
TRIP6	TENT5C
EFEMP2	SGTB
ENKD1	TSC22D4
TRIM37	FAM107A
CDC42EP1	RBPMS
UBE2I	DACH1
DOK2	KIFBP
NUDT18	KXD1
LPXN	ZNF426
SFI1	RADIL
PDLIM1	GFAP
PDLIM4	RBPMS
LDOC1	FAM107A
GLIS3	SUFU
RBM10	FAM124A
KRT6B	KRT19
LDOC1	FOSL1
MTMR9	EMILIN1
RAB33A	RABAC1
PSME3	ZCCHC10
USP2	BEND5
DTX2	HPCAL4
RPIA	LNX1
TNFAIP8	MED4
KLHL12	SNX20
EFEMP2	PIDD1
ADAMTSL4	NTN4
NCKIPSD	BAIAP2
IFIT3	IFIT1
NOL3	SIRPA
TADA2A	FAM107A
BEGAIN	DEF6
CCDC85B	SYT17
DVL2	ARHGEF39
KHDRBS3	CCDC33
GFAP	PDLIM7
PRMT8	PRMT8
FAM107A	VIM
CCDC85B	ZNF426
ASB9	HIF1AN
SPP1	PDLIM7
PPARA	STAC3
KRT19	PCM1
KHDRBS3	LNX1
CCNK	KCNRG
CDK4	CDKN2D
PLSCR1	IQCN
CDC42	CDC42EP1
FAM124A	NKAP
DHPS	NUDT18
STX11	CCNK
KCNRG	KCNRG
CCDC85B	LNX1
EWSR1	C11orf16
PLSCR1	ENKD1
CDK18	CCDC85B
PRUNE2	RCN3
EWSR1	RNF183
PAFAH1B3	LNX1
TULP2	EWSR1
ARHGEF39	RBPMS
ISG15	USP18
ZBTB43	LMO3
STX11	SNAP25
HSPB7	HSPB8
TXNL4A	RHEBL1
GSE1	NUDT18
NUDT18	APIP
VIM	GFAP
DACH1	NAGK
CTBP2	TEAD3
CKB	ASB9
HOMER1	ABI3
PAFAH1B3	PAFAH1B3
ZNRD2	CCDC33
ZNF821	LURAP1
USP2	CCDC85B
PLSCR1	NEU4
KLHL12	LNX1
NADK	NUDT18
NONO	MAD1L1
ZMYND10	TSC22D4
BEND5	CTNNBIP1
NUDT18	KCTD13
GABPB1	LMO3
PLSCR1	HOXB6
COL8A1	KLHL12
ZNRD2	TRAPPC6A
SNAP29	LURAP1
SORBS2	YWHAE
TRIP13	LNX1
KRT19	DEPP1
ENKD1	PDLIM7
CEP70	UTP14A
CALML3	IQCN
RARA	RXRG
AIMP2	LMO3
ZNRD2	IL16
SIRT6	ELF5
FBF1	ACCS
KHDRBS3	NUDT18
TEAD4	WWTR1
LNX1	TIFA
TRIP13	DTX2
ZC3H12A	TANK
LNX1	RABAC1
RTN1	PLEKHF2
PSME3	NUDT18
SYT17	CHMP4A
KXD1	ZC4H2
KRT19	EXOC8
IFFO1	RNF183
PCBD1	LNX1
EWSR1	RAB37
RCN3	SUFU
ZNF426	NINL
FXR2	KCNRG
S100A1	S100A1
NOL3	VASP
U2AF2	LURAP1
AIMP2	FHL3
SGTA	NME3
LMO3	KXD1
ZNF24	ZNF446
ZNRD2	ZNRD2
LDB1	LMO3
FHL3	MED15
LURAP1	BLOC1S6
MEOX2	SAMM50
TEAD4	CCDC85B
DOCK10	LURAP1
ZNRD2	CCT3
LNX1	NAGK
RARA	RXRB
KRT19	ZNF638
CCDC85B	LMO3
STX11	KXD1
CDC42EP1	FHL3
FANCG	SAMD3
SMAD9	SMAD4
PHC2	LMO3
SEC24D	SEC23B
MAP3K7CL	TAB3
LNX1	KCTD13
ZBED1	NUDT18
AIMP2	LNX1
ZNRD2	VTA1
SYT17	NINL
LNX1	APIP
ZNF446	ZNF232
DTX2	UBE2D4
TCL1A	H2AW
RNF183	KXD1
LNX1	DDX17
MAPRE2	NIF3L1
FHL3	LNX1
GFAP	SH3YL1
NOL3	NIF3L1
TRIM23	LNX1
PAFAH1B3	CHMP7
EWSR1	SERP2
NUDT18	RABAC1
HID1	RCN3
HPCAL1	DTX2
KIFBP	PLEKHF1
MBIP	EPB41L3
SAT1	LNX1
FHL3	ADAMTSL4
SNAPC5	BATF
DPEP1	KIFBP
NUDT18	EVI5L
RPS15A	ELF5
NUDT18	RWDD1
ZNF446	SUFU
NCALD	DTX2
MAPRE2	MAPRE2
SGTB	RAI2
E2F6	TFDP1
CEP70	ZNF426
LNX1	TSC22D4
FHL3	LASP1
ELAVL4	EWSR1
CTH	CTH
CKB	SERP2
SIRPA	TRIM2
STAC3	STAC3
KHDRBS3	RBM7
SEC13	SEC16B
ZCCHC10	STAC3
CKS2	TSC22D4
CALCOCO2	PCGF1
HGS	LURAP1
GBP5	GBP5
ZBTB43	LNX1
CDC42EP1	MAPKAP1
MLLT3	APPBP2
EFEMP2	COL8A1
RCN3	KLHL42
TCL1A	CALCOCO2
DCTD	NUDT18
CDKN2D	TBC1D17
NXF3	NXT1
GFAP	POM121
EWSR1	CCDC7
CREB3	MALL
