# Graph Type: undirected
ARF1	GGA3
ARRB2	RALGDS
BCL3	BARD1
ARVCF	CDH15
CAPN1	PSEN2
MCM5	MCM2
CDC7	MCM2
MCM2	DBF4
CDK2	CDKN3
RBL1	RBBP8
CCNB1	RALBP1
ZBTB16	HBEGF
ESR1	PPARGC1B
FGA	PRRC2A
GRIK1	PICK1
SDCBP	GRIK1
GNAO1	RGS19
FGF7	HSPG2
CCR10	PRRC2A
HTT	SETD2
HTT	HAP1
HTT	ZDHHC17
HTT	HYPK
HTT	TRIP10
TCF3	ID3
IGF1R	IRS1
SOCS1	IGF1R
IRS1	PTK2
IRS1	MAPK8
INSR	IRS1
PRMT5	JAK2
SOCS1	JAK2
LMNA	LMNB1
LYL1	NFKB1
ALOX5	COTL1
XRCC6	VAV1
XRCC6	NCF4
XRCC6	MRE11
PIAS4	LEF1
MITF	LEF1
LOX	DHDDS
MCM7	DBF4
CDC7	MCM7
NGFR	PRKACB
NPY1R	LSM7
SNCA	SNCAIP
NUMA1	EPB41L1
NFKB1	MAP3K8
AKT1	PLXNA1
ETS2	CDK10
SOCS1	CSF1R
MET	GLMN
VAV1	EZH2
PAX5	TLE4
PPARA	NRBF2
PIK3CA	PIK3R3
TRPC1	PKD2
PTPRB	MAGI3
PDPK1	PRKCZ
PRKCZ	WWC1
RHOG	ARHGDIG
TOP3B	SNRPB
UNC13B	STX1A
SIVA1	CD27
TAL1	NCAPG2
TXN	NCF4
E2F1	NDN
FES	HSH2D
CDH1	CBLL1
BIN1	ITGA1
AR	FLNA
FLNA	CASR
AGTR2	MTUS1
UNC5A	MAGED1
SH3KBP1	SH3GL3
ARHGEF9	GPHN
SH2D1A	SLAMF1
FMR1	NUFIP1
POLA1	RBMS1
RPGR	RPGRIP1
PDE6D	RPGR
AR	RAN
AR	NR2C2
AR	NCOA3
AR	RNF4
AR	NCOA4
AR	RANBP9
AR	RCHY1
PIAS2	AR
INSM1	SORBS1
YY1	YAF2
BCL2L1	AVEN
BCL2L1	RTN1
PSTPIP1	PTPN12
HNF4A	CREBBP
TIAF1	JAK3
TOP3B	CENPF
CENPF	CENPF
