# Graph Type: undirected
ARF1	GGA3
TFAP2A	CITED2
TFAP2A	EP300
ARRB2	RALGDS
SLC4A1	SLC4A1AP
BCL3	BARD1
GIPC1	ADRB1
PCBD1	CACNA1C
CAPN1	PSEN2
MCM5	MCM2
CDC7	MCM2
MCM2	DBF4
CDK2	CDKN3
ZBTB16	HBEGF
ESR1	PPARGC1B
FGF7	HSPG2
CCR10	PRRC2A
HTT	SETD2
HTT	HAP1
HTT	ZDHHC17
HTT	HYPK
HTT	TRIP10
TCF3	ID3
IGF1R	IRS1
SOCS1	IGF1R
IRS1	PTK2
IRS1	MAPK8
INSR	IRS1
PRMT5	JAK2
SOCS1	JAK2
KRT8	BYSL
LMNA	LMNB1
BCL2	BNIPL
LYL1	NFKB1
ALOX5	COTL1
XRCC6	VAV1
XRCC6	NCF4
XRCC6	MRE11
MITF	LEF1
LOX	DHDDS
MCM7	DBF4
CDC7	MCM7
NGFR	PRKACB
NPY1R	LSM7
SNCA	SNCAIP
NUMA1	EPB41L1
NFKB1	MAP3K8
AKT1	PLXNA1
ETS2	CDK10
CTTN	SHANK2
SOCS1	CSF1R
MET	GLMN
VAV1	EZH2
PAX5	TLE4
PPARA	NRBF2
PIK3CA	PIK3R3
TRPC1	PKD2
PTPRB	MAGI3
PDPK1	PRKCZ
PRKCZ	WWC1
RHOG	ARHGDIG
TOP3B	SNRPB
SIVA1	CD27
TAL1	NCAPG2
TXN	NCF4
CDH1	CBLL1
ZNF10	TRIM28
TRIM24	ZNF10
AR	FLNA
AGTR2	MTUS1
BMX	PTPN21
TRO	BYSL
SMAD4	CITED1
LRP2	DLG3
ARHGEF11	PLXNB3
KLF8	CTBP2
TIMM8A	STAM
ARHGEF9	GPHN
FMR1	NUFIP1
POLA1	RBMS1
RPGR	RPGRIP1
PDE6D	RPGR
AR	RAN
AR	NR2C2
AR	NCOA3
AR	RNF4
AR	NCOA4
AR	PAK6
AR	RANBP9
AR	RCHY1
PIAS2	AR
YY1	YAF2
BCL2L1	AVEN
BCL2L1	RTN1
LRP2	MAGI1
LRP2	ANKRA2
