# Graph Type: undirected
ARF1	GGA3
TFAP2A	CITED2
TFAP2A	EP300
APOB	MTTP
ARRB2	RALGDS
BCL3	BARD1
CAPN1	PSEN2
CA8	ITPR1
MCM5	MCM2
CDC7	MCM2
MCM2	DBF4
CDK2	CDKN3
CCNB1	RALBP1
ZBTB16	HBEGF
ESR1	PPARGC1B
FGA	PRRC2A
GABARAP	GABRG2
GRIK1	PICK1
SDCBP	GRIK1
FGF7	HSPG2
CCR10	PRRC2A
HTT	SETD2
HTT	HAP1
HTT	ZDHHC17
HTT	HYPK
HTT	TRIP10
TCF3	ID3
IGF1R	IRS1
SOCS1	IGF1R
IRS1	PTK2
IRS1	MAPK8
INSR	IRS1
PRMT5	JAK2
SOCS1	JAK2
KRT8	BYSL
LMNA	LMNB1
ALOX5	COTL1
XRCC6	VAV1
XRCC6	MRE11
PIAS4	LEF1
MITF	LEF1
LOX	DHDDS
MCM7	DBF4
CDC7	MCM7
SNCA	SNCAIP
NUMA1	EPB41L1
NFKB1	MAP3K8
AKT1	PLXNA1
ETS2	CDK10
SOCS1	CSF1R
MET	GLMN
VAV1	EZH2
PAX5	TLE4
PPARA	NRBF2
PIK3CA	PIK3R3
APOA1	PDE1A
TRPC1	PKD2
PTPRB	MAGI3
RHOG	ARHGDIG
RAD51	DMC1
TOP3B	SNRPB
SIVA1	CD27
TAL1	NCAPG2
E2F1	NDN
SRC	EPHB2
ZNF10	TRIM28
TRIM24	ZNF10
MEFV	COG5
AR	FLNA
FLNA	CASR
AGTR2	MTUS1
TRO	BYSL
CASK	TBR1
NCS1	IL1RAPL1
KLF8	CTBP2
TIMM8A	STAM
SH3KBP1	SH3GL3
ARHGEF9	GPHN
FMR1	NUFIP1
POLA1	RBMS1
RPGR	RPGRIP1
PDE6D	RPGR
AR	RAN
AR	NR2C2
AR	NCOA3
AR	RNF4
AR	NCOA4
AR	RANBP9
AR	RCHY1
PIAS2	AR
YY1	YAF2
BCL2L1	AVEN
HNF4A	CREBBP
TOP3B	CENPF
CENPF	CENPF
PTPN13	PKN2
DSC3	PKP4
