# Graph Type: undirected
DAB1	APLP1
TFAP2A	CITED2
TFAP2A	EP300
ARRB2	RALGDS
ARVCF	CDH15
CAPN1	PSEN2
CDC7	MCM2
CDK2	CDKN3
CCNB1	RALBP1
ARNT	SIM2
ZBTB16	HBEGF
FTL	MPP6
FGA	PRRC2A
PFKFB2	GCK
GNAO1	RGS19
LIMK1	NRG1
FGF7	HSPG2
IGF1R	IRS1
SOCS1	IGF1R
IRS1	PTK2
IRS1	MAPK8
INSR	IRS1
LMNA	LMNB1
ALOX5	COTL1
XRCC6	VAV1
PIAS4	LEF1
MITF	LEF1
LOX	DHDDS
CDC7	MCM7
NUMA1	EPB41L1
ETS2	CDK10
CTTN	SHANK2
SOCS1	CSF1R
PAX5	TLE4
PAX9	KDM5B
PPARA	NRBF2
PIK3CA	PIK3R3
APOA1	PDE1A
PTPRB	MAGI3
PDPK1	PRKCZ
PRKCZ	WWC1
RHOG	ARHGDIG
RAD51	DMC1
RXRA	BRD8
SLC17A1	PDZK1
UNC13B	STX1A
SIVA1	CD27
TAL1	NCAPG2
E2F1	NDN
SRC	EPHB2
ZNF10	TRIM28
TRIM24	ZNF10
MEFV	COG5
AR	FLNA
FLNA	CASR
AGTR2	MTUS1
BMX	PTPN21
CASK	TBR1
NCS1	IL1RAPL1
TIMM8A	STAM
SH3KBP1	SH3GL3
ARHGEF9	GPHN
FMR1	NUFIP1
POLA1	RBMS1
AP1G1	SYP
AR	RAN
AR	NR2C2
AR	NCOA3
AR	RNF4
AR	NCOA4
AR	PAK6
AR	RANBP9
AR	RCHY1
PIAS2	AR
INSM1	SORBS1
YY1	YAF2
BCL2L1	AVEN
BCL2L1	RTN1
PSTPIP1	PTPN12
PDE4D	PDE4DIP
HNF4A	CREBBP
TIAF1	JAK3
TLE1	HES6
TLE1	FOXA2
CENPF	CENPF
PTPN13	PKN2
DSC3	PKP4
HNF4A	ZNHIT3
BCAR1	RAPGEF1
NCBP2	NCBP1
NCK1	EPHB1
DLG4	ERBB4
YAP1	ERBB4
S100P	S100P
KCNJ2	DLG4
