# Graph Type: undirected
ACTN2	MYPN
ARF1	GGA3
TFAP2A	CITED2
TFAP2A	EP300
ARRB2	RALGDS
ARVCF	CDH15
PCBD1	CACNA1C
CAPN1	PSEN2
CA8	ITPR1
CDC7	MCM2
CDK2	CDKN3
CCNB1	RALBP1
ARNT	SIM2
ARNT	NPAS4
ZBTB16	HBEGF
ESR1	PPARGC1B
FGA	PRRC2A
GABARAP	GABRG2
PFKFB2	GCK
SDCBP	GRIK2
GRIK2	PICK1
GNAO1	RGS19
LIMK1	NRG1
CCR10	PRRC2A
HTT	SETD2
HTT	HAP1
HTT	ZDHHC17
HTT	HYPK
HTT	TRIP10
TCF3	ID3
IGF1R	IRS1
SOCS1	IGF1R
IRS1	PTK2
IRS1	MAPK8
INSR	IRS1
KRT8	BYSL
XRCC6	VAV1
MC4R	ATRNL1
CDC7	MCM7
NEB	MYPN
NUMA1	EPB41L1
AKT1	PLXNA1
ETS2	CDK10
CTTN	SHANK2
SOCS1	CSF1R
FOXG1	KDM5B
PAX5	TLE4
PPARA	NRBF2
PIK3CA	PIK3R3
TRPC1	PKD2
PTPRB	MAGI3
PDPK1	PRKCZ
PRKCZ	WWC1
RHOG	ARHGDIG
TOP3B	SNRPB
ANK1	OBSCN
SOX9	NR5A1
NRIP1	NR5A1
UNC13B	STX1A
SIVA1	CD27
TAL1	NCAPG2
E2F1	NDN
SRC	EPHB2
CDH1	CBLL1
ZNF10	TRIM28
TRIM24	ZNF10
MEFV	COG5
AR	FLNA
FLNA	CASR
AGTR2	MTUS1
TRO	BYSL
SMAD4	CITED1
ACTN3	MYPN
CASK	TBR1
NCS1	IL1RAPL1
UNC5A	MAGED1
TIMM8A	STAM
SH3KBP1	SH3GL3
ARHGEF9	GPHN
FMR1	NUFIP1
RPGR	RPGRIP1
PDE6D	RPGR
AP1G1	SYP
AR	RAN
AR	NR2C2
AR	NCOA3
AR	RNF4
AR	NCOA4
AR	PAK6
AR	RANBP9
AR	RCHY1
PIAS2	AR
INSM1	SORBS1
YY1	YAF2
BCL2L1	AVEN
BCL2L1	RTN1
PDE4D	PDE4DIP
HNF4A	CREBBP
TIAF1	JAK3
TLE1	HES6
PTPN13	PKN2
DSC3	PKP4
HNF4A	ZNHIT3
BCAR1	RAPGEF1
NCBP2	NCBP1
KCNJ4	DLG4
NCK1	EPHB1
DLG4	ERBB4
YAP1	ERBB4
ERBB4	DLG2
KCNJ2	DLG4
PSEN2	KCNIP3
LIMK1	BMPR2
CDKN1C	LIMK1
UGCG	RTN1
HAP1	NEUROD1
COPB1	COPG2
DAB2	MYO6
ARHGEF11	PLXNB1
BIN1	ITGA3
BCAR1	YWHAZ
MYBL2	ZNF622
PGR	UBE3A
LSM8	GTF2I
TRAF1	HIVEP3
RFXAP	RFX5
PTK6	STAP2
PEG10	SIAH1
NEDD4	UBE2D2
DRAP1	TTF2
DNM2	SHANK2
IPCEF1	CYTH2
NRIP1	NR0B1
COPB2	RGS4
MAP2K5	MAP3K3
ARNTL	NPAS4
PDE6D	RND1
NCOA1	NR1H4
FYB1	SKAP1
CDC5L	TTF2
PPL	KAZN
SMAD7	PIAS4
TRIP6	LPAR2
LHX2	CITED2
E2F6	RYBP
FANCA	SMARCA4
ARHGEF7	SHANK2
TRADD	TNFRSF25
ITGA3	RABIF
RIPK1	RIPK3
