# Graph Type: undirected
ARF1	GGA3
TFAP2A	CITED2
TFAP2A	EP300
ARRB2	RALGDS
SLC4A1	SLC4A1AP
GIPC1	ADRB1
PCBD1	CACNA1C
CA8	ITPR1
MCM5	MCM2
CDC7	MCM2
CDK2	CDKN3
CCNB1	RALBP1
ARNT	SIM2
FGA	PRRC2A
GNAO1	RGS19
HTT	SETD2
HTT	HAP1
HTT	ZDHHC17
HTT	HYPK
HTT	TRIP10
TCF3	ID3
IGF1R	IRS1
SOCS1	IGF1R
IRS1	PTK2
IRS1	MAPK8
INSR	IRS1
KRT8	BYSL
LMNA	LMNB1
LYL1	NFKB1
ALOX5	COTL1
XRCC6	VAV1
XRCC6	NCF4
XRCC6	MRE11
PIAS4	LEF1
MITF	LEF1
LOX	DHDDS
CDC7	MCM7
NGFR	PRKACB
NUMA1	EPB41L1
NFKB1	MAP3K8
AKT1	PLXNA1
ETS2	CDK10
CTTN	SHANK2
SOCS1	CSF1R
PTPRB	MAGI3
PDPK1	PRKCZ
PRKCZ	WWC1
RAD51	DMC1
UNC13B	STX1A
SIVA1	CD27
TXN	NCF4
CDH1	CBLL1
MEFV	COG5
XPA	RPA4
FLNA	CASR
TRO	BYSL
LRP2	DLG3
KLF8	CTBP2
SH3KBP1	SH3GL3
ARHGEF9	GPHN
YY1	YAF2
BCL2L1	AVEN
LRP2	MAGI1
LRP2	ANKRA2
DAB2	LRP2
PDE4D	PDE4DIP
CENPF	CENPF
DSC3	PKP4
BCAR1	RAPGEF1
NCBP2	NCBP1
NCK1	EPHB1
YAP1	ERBB4
S100P	S100P
SERPINH1	UBQLN4
COPB1	COPG2
DAB2	MYO6
ARHGEF11	PLXNB1
CSPG4	GRIP2
BIN1	ITGA3
BCAR1	YWHAZ
PPARG	NCOA4
TFAP2C	CITED2
LSM8	GTF2I
PEG10	SIAH1
SIAH2	PEG10
NEDD4	UBE2D2
DNM2	SHANK2
IPCEF1	CYTH2
TOLLIP	IL1RAP
MCM3	MCM5
CDC7	MCM5
FYB1	SKAP1
PPL	KAZN
SMAD7	PIAS4
