# Graph Type: undirected
ARF1	GGA3
TFAP2A	CITED2
TFAP2A	EP300
BCL3	BARD1
GIPC1	ADRB1
PCBD1	CACNA1C
CAPN1	PSEN2
MCM5	MCM2
CDC7	MCM2
MCM2	DBF4
CCNB1	RALBP1
ARNT	SIM2
ZBTB16	HBEGF
ESR1	PPARGC1B
FGA	PRRC2A
GNAO1	RGS19
FGF7	HSPG2
HTT	SETD2
HTT	HAP1
HTT	ZDHHC17
HTT	HYPK
HTT	TRIP10
TCF3	ID3
IGF1R	IRS1
IRS1	PTK2
IRS1	MAPK8
INSR	IRS1
PRMT5	JAK2
KRT8	BYSL
BCL2	BNIPL
ALOX5	COTL1
XRCC6	VAV1
XRCC6	MRE11
PIAS4	LEF1
MITF	LEF1
LOX	DHDDS
MCM7	DBF4
CDC7	MCM7
SNCA	SNCAIP
NUMA1	EPB41L1
NFKB1	MAP3K8
AKT1	PLXNA1
ETS2	CDK10
CTTN	SHANK2
MET	GLMN
PAX9	KDM5B
PPARA	NRBF2
PIK3CA	PIK3R3
TRPC1	PKD2
PTPRB	MAGI3
MAPK1	NEK2
PDPK1	PRKCZ
PRKCZ	WWC1
RHOG	ARHGDIG
UNC13B	STX1A
TAL1	NCAPG2
TCAP	TTN
TNNT1	TNNC1
CDH1	CBLL1
BIN1	ITGA1
ZNF10	TRIM28
TRIM24	ZNF10
AR	FLNA
TRO	BYSL
SMAD4	CITED1
ARHGEF11	PLXNB3
KLF8	CTBP2
TIMM8A	STAM
SH3KBP1	SH3GL3
ARHGEF9	GPHN
FMR1	NUFIP1
POLA1	RBMS1
RPGR	RPGRIP1
PDE6D	RPGR
AR	RAN
AR	NR2C2
AR	NCOA3
AR	RNF4
AR	NCOA4
AR	PAK6
AR	RANBP9
AR	RCHY1
PIAS2	AR
YY1	YAF2
BCL2L1	AVEN
BCL2L1	RTN1
PTPN13	PKN2
DSC3	PKP4
BCAR1	RAPGEF1
CSTF1	BARD1
NCBP2	NCBP1
NCK1	EPHB1
YAP1	ERBB4
S100P	S100P
UGCG	RTN1
SERPINH1	UBQLN4
