# Graph Type: undirected
ARF1	GGA3
TFAP2A	CITED2
TFAP2A	EP300
ARRB2	RALGDS
SLC4A1	SLC4A1AP
GIPC1	ADRB1
CAPN1	PSEN2
CA8	ITPR1
MCM5	MCM2
CDC7	MCM2
CDK2	CDKN3
ZBTB16	HBEGF
ESR1	PPARGC1B
FGA	PRRC2A
FGF7	HSPG2
HTT	SETD2
HTT	HAP1
HTT	ZDHHC17
HTT	HYPK
HTT	TRIP10
TCF3	ID3
IGF1R	IRS1
SOCS1	IGF1R
IRS1	PTK2
IRS1	MAPK8
INSR	IRS1
PRMT5	JAK2
SOCS1	JAK2
KRT8	BYSL
BCL2	BNIPL
LYL1	NFKB1
XRCC6	VAV1
PIAS4	LEF1
MITF	LEF1
MC4R	ATRNL1
CDC7	MCM7
NGFR	PRKACB
NPY1R	LSM7
NUMA1	EPB41L1
AKT1	PLXNA1
ETS2	CDK10
CTTN	SHANK2
SOCS1	CSF1R
MET	GLMN
OPRD1	GPRASP1
PAX5	TLE4
PAX9	KDM5B
PPARA	NRBF2
PIK3CA	PIK3R3
TRPC1	PKD2
PTPRB	MAGI3
PDPK1	PRKCZ
PRKCZ	WWC1
RHOG	ARHGDIG
UNC13B	STX1A
SIVA1	CD27
TCAP	TTN
E2F1	NDN
SRC	EPHB2
CDH1	CBLL1
MEFV	COG5
XPA	RPA4
AR	FLNA
FLNA	CASR
CASK	TBR1
ARHGEF11	PLXNB3
TIMM8A	STAM
SH3KBP1	SH3GL3
ARHGEF9	GPHN
FMR1	NUFIP1
POLA1	RBMS1
AP1G1	SYP
AR	RAN
AR	NR2C2
AR	NCOA3
AR	RNF4
AR	NCOA4
AR	PAK6
AR	RANBP9
AR	RCHY1
PIAS2	AR
BCL2L1	AVEN
PSTPIP1	PTPN12
CENPF	CENPF
PTPN13	PKN2
DSC3	PKP4
BCAR1	RAPGEF1
MSC	ID2
NCBP2	NCBP1
NCK1	EPHB1
YAP1	ERBB4
AP2M1	LY9
PSEN2	KCNIP3
HAP1	NEUROD1
DAB2	MYO6
BIN1	ITGA3
