# Graph Type: undirected
ACTN2	MYPN
TFAP2A	CITED2
TFAP2A	EP300
SLC4A1	SLC4A1AP
BCL3	BARD1
ARVCF	CDH15
PCBD1	CACNA1C
CAPN1	PSEN2
CDK2	CDKN3
RBL1	RBBP8
ARNT	SIM2
ARNT	SIM1
ZBTB16	HBEGF
ESR1	PPARGC1B
FGA	PRRC2A
GNAO1	RGS19
CCR10	PRRC2A
HTT	SETD2
HTT	HAP1
HTT	ZDHHC17
HTT	HYPK
HTT	TRIP10
TCF3	ID3
IGF1R	IRS1
IRS1	PTK2
IRS1	MAPK8
INSR	IRS1
PRMT5	JAK2
KRT8	BYSL
NEB	MYPN
NUMA1	EPB41L1
AKT1	PLXNA1
MET	GLMN
PAX5	TLE4
PPARA	NRBF2
PIK3CA	PIK3R3
TRPC1	PKD2
PTPRB	MAGI3
RHOG	ARHGDIG
ANK1	OBSCN
SOX9	NR5A1
NRIP1	NR5A1
UNC13B	STX1A
SIVA1	CD27
TCAP	TTN
SRC	EPHB2
TNNT1	TNNC1
ZNF10	TRIM28
TRIM24	ZNF10
MEFV	COG5
XPA	RPA4
AR	FLNA
AGTR2	MTUS1
ACTN3	MYPN
CASK	TBR1
LRP2	DLG3
TIMM8A	STAM
SH3KBP1	SH3GL3
FMR1	NUFIP1
POLA1	RBMS1
RPGR	RPGRIP1
PDE6D	RPGR
AR	RAN
AR	NR2C2
AR	NCOA3
AR	RNF4
AR	NCOA4
AR	RANBP9
AR	RCHY1
PIAS2	AR
YY1	YAF2
BCL2L1	AVEN
LRP2	MAGI1
LRP2	ANKRA2
LRP2	LRP2BP
DAB2	LRP2
PDE4D	PDE4DIP
HNF4A	CREBBP
TIAF1	JAK3
CENPF	CENPF
DSC3	PKP4
HNF4A	ZNHIT3
BCAR1	RAPGEF1
CSTF1	BARD1
MSC	ID2
NCBP2	NCBP1
KCNJ4	DLG4
NCK1	EPHB1
DLG4	ERBB4
YAP1	ERBB4
KCNJ2	DLG4
HAP1	NEUROD1
COPB1	COPG2
BIN1	ITGA3
BCAR1	YWHAZ
KHDRBS1	RAPSN
TFAP2C	CITED2
PGR	UBE3A
LSM8	GTF2I
TACC1	YEATS4
PEG10	SIAH1
NEDD4	UBE2D2
IPCEF1	CYTH2
COPB2	RGS4
MAP2K5	MAP3K3
NCOA1	NR1H4
PPL	KAZN
SMAD7	PIAS4
E2F6	RYBP
TLR4	RNF216
ITGA3	RABIF
RIPK1	RIPK3
LSM7	MYH13
BCL10	MALT1
HUNK	RABEP1
HIC1	HIC1
TROAP	BYSL
COPG2	COPG1
GADD45G	GADD45GIP1
PACSIN3	PACSIN2
FHL5	FHL5
FEZ1	DISC1
TLR9	RNF216
ABI3BP	ABI3
OSTM1	RGS17
LRPPRC	CECR2
RARA	NRBF2
RARA	ZBTB16
RARA	MECR
LOXL1	FBLN5
MT2A	PRKD1
NPR1	PRKG1
MT-ND2	SRC
PAWR	THAP1
DTNB	KIF5A
PDZD2	CTNND2
GNB5	GNG4
ARL6IP5	ARL6
PUM2	NANOS1
ARL6IP4	ARL6
ARL6IP1	ARL6
COPZ2	COPG1
NEBL	MYPN
ATL2	ARL6
ARL6IP6	ARL6
TNNI3	PKD2L1
ANKRD23	MYPN
MAST2	CDHR2
ATP6V1G2	ATP6V1E1
CALCOCO2	TP53RK
LMO2	MAPRE2
TRIM29	CRACR2A
DCTD	LNX1
GADD45G	RWDD2B
DAZAP2	DCUN1D1
MDFI	DDX19A
MSC	EWSR1
DTX2	RBPMS
DTNB	TSACC
PCBD1	NUDT18
EWSR1	SLC22A24
LDOC1	LNX1
CALCOCO2	ZC2HC1C
ZNF821	CCDC85B
MDFI	AASDHPPT
AP5Z1	MDFI
VSNL1	DTX2
NOL3	NOL3
LNX1	CUTC
PPP1R37	ZMYND19
FHL3	PHC2
BRME1	C19orf25
LURAP1	THAP7
NFIC	LLPH
HK2	UBQLN1
PLSCR1	DTX2
CALCOCO2	LNX1
RASSF8	FRMD6
DAZAP2	TENT5C
DTNB	NUP62
CCDC85B	TCEANC
CEP63	MBIP
TRIM37	ELOA2
BRME1	RABL6
KHDRBS3	ZNF408
TYMSOS	MDFI
NT5C2	NUDT18
CAVIN2	NUDT18
TADA2A	EXOC8
BRME1	GPS2
CCDC85B	CFAP53
TEX11	MAD1L1
GADD45G	TSNAX
AKAP17A	MDFI
DAZAP2	BATF2
BAHD1	MDFI
EWSR1	KHDRBS2
DKK1	MDFI
CIAO1	CCDC7
EMD	FATE1
EFHC1	TEX11
GNAI2	MDFI
USP2	HOOK2
TMEM241	MDFI
EFEMP2	FAM107A
SRSF1	LNX1
ENOX1	NIF3L1
PLSCR1	NTN4
NINL	MAD1L1
ASMTL	TDO2
KHDRBS3	BAHD1
RTN4IP1	WBP11
TEX11	C10orf82
NUDT18	TIFA
SIX1	MDFI
RBL1	BEGAIN
TRIM23	BRME1
NUDT18	RAB3IL1
MDFI	CHIC2
EWSR1	MNS1
CALCOCO2	PIAS4
KHDRBS3	PSMF1
FATE1	RNF183
NADK	LNX1
MDFI	MDFI
TRIP13	TEX37
TNNT1	CCDC85B
TCEANC	LURAP1
C10orf62	MDFI
TRIP6	TENT5C
EFEMP2	SGTB
TRIM37	FAM107A
FXR2	THAP1
DOK2	KIFBP
NUDT18	KXD1
TEX11	ZNF414
