# Graph Type: undirected
ARF1	GGA3
ARRB2	RALGDS
BCL3	BARD1
GIPC1	ADRB1
PCBD1	CACNA1C
CAPN1	PSEN2
MCM5	MCM2
CDC7	MCM2
MCM2	DBF4
RBL1	RBBP8
ZBTB16	HBEGF
ESR1	PPARGC1B
HTT	SETD2
HTT	HAP1
HTT	ZDHHC17
HTT	HYPK
HTT	TRIP10
TCF3	ID3
IGF1R	IRS1
SOCS1	IGF1R
IRS1	PTK2
IRS1	MAPK8
INSR	IRS1
PRMT5	JAK2
SOCS1	JAK2
LMNA	LMNB1
LYL1	NFKB1
ALOX5	COTL1
XRCC6	VAV1
XRCC6	NCF4
XRCC6	MRE11
PIAS4	LEF1
MITF	LEF1
LOX	DHDDS
MCM7	DBF4
CDC7	MCM7
NGFR	PRKACB
NPY1R	LSM7
SNCA	SNCAIP
NFKB1	MAP3K8
RELA	RNF25
AKT1	PLXNA1
ETS2	CDK10
CTTN	SHANK2
SOCS1	CSF1R
MET	GLMN
VAV1	EZH2
PAX5	TLE4
KALRN	PAM
PPARA	NRBF2
PIK3CA	PIK3R3
TRPC1	PKD2
PTPRB	MAGI3
PDPK1	PRKCZ
PRKCZ	WWC1
TOP3B	SNRPB
NRIP1	NR5A1
SIVA1	CD27
TAL1	NCAPG2
TXN	NCF4
FES	HSH2D
CDH1	CBLL1
BIN1	ITGA1
EED	ITGA4
XPA	RPA4
AR	FLNA
KLF8	CTBP2
SH3KBP1	SH3GL3
ARHGEF9	GPHN
SH2D1A	SLAMF1
POLA1	RBMS1
PDE6D	RPGR
AR	RAN
AR	NR2C2
AR	NCOA3
AR	RNF4
AR	NCOA4
AR	RANBP9
AR	RCHY1
PIAS2	AR
YY1	YAF2
BCL2L1	AVEN
BCL2L1	RTN1
BAX	BCL2A1
PSTPIP1	PTPN12
TOP3B	CENPF
CENPF	CENPF
PTPN13	PKN2
BCAR1	RAPGEF1
NCBP2	NCBP1
S100P	S100P
KCNJ2	DLG4
AP2M1	LY9
UGCG	RTN1
SERPINH1	UBQLN4
DAB2	MYO6
BCL2A1	BOK
BCL2A1	BAD
CSPG4	GRIP2
ORC2	DBF4
BIN1	ITGA3
BCAR1	YWHAZ
MYBL2	ZNF622
MAD2L1	ESR2
EED	EZH2
PGR	UBE3A
LSM8	GTF2I
TRAF1	HIVEP3
RFXAP	RFX5
TRAF2	HIVEP3
PTK6	STAP2
NEDD4	UBE2D2
DRAP1	TTF2
DNM2	SHANK2
IPCEF1	CYTH2
MAP2K5	MAP3K3
TOLLIP	IL1RAP
MCM3	MCM5
MCM3	DBF4
CDC7	MCM5
CLSTN1	APBA2
FYB1	SKAP1
CDC5L	TTF2
SMAD7	PIAS4
TRIP6	LPAR2
E2F6	RYBP
TLR3	RNF216
TLR4	RNF216
FANCA	SMARCA4
ARHGEF7	SHANK2
TRADD	TNFRSF25
ITGA3	RABIF
RIPK1	RIPK3
BCL10	MALT1
TOP3B	CHD8
HIC1	HIC1
AKAP9	TACC3
PLCB2	TRPM7
TNIP1	TTF2
DCP1A	TTF2
PDCD6IP	TTF2
PRDX4	TTF2
TTF2	TACC3
NBL1	UBQLN1
URI1	DMAP1
MCL1	BOK
TLR9	RNF216
RAB11A	RAB11FIP4
ABI3BP	ABI3
TNK2	HSH2D
CDC7	ORC6
SOX6	CENPK
LSM8	DBF4
RARA	NRBF2
RARA	ZBTB16
RARA	MECR
GFI1	PIAS3
LOXL1	FBLN5
MT2A	PRKD1
MT-ND2	SRC
PAWR	THAP1
CDC7	MCM4
CCNE1	CUL3
ARL6IP5	ARL6
ARL6IP4	ARL6
ARL6IP1	ARL6
CDC7	DBF4
PPP1CA	PHACTR3
ATL2	ARL6
ARL6IP6	ARL6
C6orf47	FGFR3
ATP6V1G2	ATP6V1E1
TRAF2	CDCA3
CALCOCO2	TP53RK
LMO2	MAPRE2
EWSR1	PRTFDC1
TRIM29	CRACR2A
TRAF2	FAM120B
ZBTB25	TRAF2
RBM10	PTBP2
LGALS8	CALCOCO2
ZSCAN16	ZNF446
TRAF2	FBXO28
DTX2	RBPMS
PCBD1	NUDT18
EWSR1	SLC22A24
ZNF821	CCDC85B
ZNF446	ZSCAN32
VSNL1	DTX2
NOL3	NOL3
FHL3	PHC2
NIF3L1	PRTFDC1
ZNRD2	CCNH
HK2	UBQLN1
RALYL	THAP1
PLSCR1	DTX2
TOP3B	CHIC2
TRAF2	PIN1
RTL8A	UBQLN1
DAZAP2	TENT5C
CEP19	KXD1
CEP63	MBIP
TRAF2	USP53
KHDRBS3	ZNF408
NT5C2	NUDT18
RTN1	FAM160A2
CAVIN2	NUDT18
DNAL4	DYNLL2
TRAF2	NECAP2
RFX3	TRAF2
DAZAP2	BATF2
PAFAH1B2	PAFAH1B3
PDE9A	TRIM32
ACCS	ACCS
EFEMP2	FAM107A
PLSCR1	NTN4
NINL	MAD1L1
ASMTL	TDO2
KHDRBS3	BAHD1
FLAD1	PRTFDC1
TRAF2	APEX2
NUDT18	TIFA
RBL1	BEGAIN
NUDT18	RAB3IL1
NFIC	ZKSCAN7
CALCOCO2	PIAS4
KHDRBS3	PSMF1
ZNF496	ZNF446
ZBTB16	TRAF2
FXR2	TRAF2
STX11	TAF6L
FXR2	RALYL
TRIP6	TENT5C
TRAF2	SPATA2
EFEMP2	SGTB
ENKD1	TSC22D4
TRIM37	FAM107A
CDC42EP1	RBPMS
FXR2	THAP1
UBE2I	DACH1
DOK2	KIFBP
NUDT18	KXD1
LPXN	ZNF426
PDLIM4	RBPMS
LDOC1	FAM107A
GLIS3	SUFU
TRAF2	PSMF1
EID3	APPBP2
RBM10	FAM124A
TRAF2	ENKD1
TRAF2	SPG21
MTMR9	EMILIN1
TRAF2	BANP
PSME3	ZCCHC10
LRSAM1	TSG101
TRAF3IP2	TRAF2
NDC80	BLOC1S6
TRAF2	NIF3L1
TNFAIP8	MED4
KLHL12	SNX20
LDOC1	ZNF408
NDC80	KLHL12
EFEMP2	PIDD1
ADAMTSL4	NTN4
CCDC85B	CCDC112
IFIT3	IFIT1
NOL3	SIRPA
ZBTB16	CEP72
BEGAIN	DEF6
CCDC85B	SYT17
DVL2	ARHGEF39
TRAF2	AFF4
KHDRBS3	CCDC33
FAM107A	VIM
HNRNPC	RBM41
ZNF646	NINL
ZNF646	TRAF2
CCDC85B	ZNF426
ASB9	HIF1AN
PPARA	STAC3
ABLIM1	TRAF2
RGR	KIFBP
CDK4	CDKN2D
CDC42	CDC42EP1
SEPTIN6	SEPTIN1
RALYL	MCRS1
FAM124A	NKAP
TRAF2	UBXN11
DHPS	NUDT18
STX11	CCNK
NASP	H3C7
PLSCR1	ENKD1
CDK5R1	TSC22D4
CDK18	CCDC85B
PRUNE2	RCN3
EWSR1	RNF183
ARHGEF39	RBPMS
ISG15	USP18
CCDC85B	EZH2
TRIP13	MEAK7
QARS1	TRAF2
TXNL4A	RHEBL1
GSE1	NUDT18
NUDT18	APIP
TRAF2	AASDHPPT
ZNF250	HOOK1
DACH1	NAGK
MMTAG2	THAP1
CTBP2	TEAD3
ZBTB25	MAPK9
ZNF646	UBE2I
CKB	ASB9
HOMER1	ABI3
PAFAH1B3	PAFAH1B3
TRAF2	THAP7
ZNRD2	CCDC33
MAD2L1	TSC22D4
NADK	NUDT18
NDC80	WASHC3
TRAF2	CCDC33
NONO	MAD1L1
BEND5	CTNNBIP1
NUDT18	KCTD13
NKAP	THAP1
RALYL	RALYL
TRAF2	TRPT1
UBE2I	IKZF3
ZBTB43	TRAF2
ZNRD2	TRAPPC6A
SORBS2	YWHAE
SPRY2	TRAF2
TRAF2	APPL1
TRAF2	GORASP2
ENKD1	PDLIM7
CEP70	UTP14A
TRAF2	TRAF6
RALYL	C20orf27
CCDC85B	RBM41
ZNRD2	IL16
FBF1	ACCS
KHDRBS3	NUDT18
TEAD4	WWTR1
TRIP13	DTX2
ZC3H12A	TANK
THAP1	THAP1
AEBP2	RALYL
RTN1	PLEKHF2
PSME3	NUDT18
SYT17	CHMP4A
KXD1	ZC4H2
ZNF408	THAP1
IFFO1	RNF183
EWSR1	RAB37
HNRNPC	RALYL
RCN3	SUFU
ZNF426	NINL
EFEMP2	LINGO1
NOL3	VASP
AIMP2	FHL3
ZBTB25	KXD1
CETP	EWSR1
SGTA	NME3
ZNF24	ZNF446
ZNRD2	ZNRD2
FHL3	MED15
TRAF2	CHMP2B
TEAD4	CCDC85B
ZNRD2	CCT3
RARA	RXRB
AP2B1	THAP1
TRAF2	ZFAND6
STX11	KXD1
CDC42EP1	FHL3
FANCG	SAMD3
SMAD9	SMAD4
TRAF2	KANSL1
SEC24D	SEC23B
MAP3K7CL	TAB3
ZBED1	NUDT18
ZNRD2	VTA1
SYT17	NINL
GTPBP3	PARP11
ZNF446	ZNF232
DTX2	UBE2D4
TCL1A	H2AW
TRAF2	HINFP
RNF183	KXD1
MAPRE2	NIF3L1
PRC1	TRIM37
NOL3	NIF3L1
RALYL	ZNF408
PAFAH1B3	CHMP7
NUDT18	RABAC1
HID1	RCN3
TRAF2	SETD5
HPCAL1	DTX2
TRAF2	BAHD1
KIFBP	PLEKHF1
ZSCAN32	ZKSCAN7
CEP70	ZNF408
FHL3	ADAMTSL4
CCDC85B	RALYL
SNAPC5	BATF
NUDT18	EVI5L
NUDT18	RWDD1
ZNF446	SUFU
NCALD	DTX2
MAPRE2	MAPRE2
SGTB	RAI2
E2F6	TFDP1
CEP70	ZNF426
SORBS3	ZBTB25
FHL3	LASP1
SEPTIN1	TOLLIP
SIRPA	TRIM2
STAC3	STAC3
KHDRBS3	RBM7
SEC13	SEC16B
ZCCHC10	STAC3
CKS2	TSC22D4
GBP5	GBP5
CDC42EP1	MAPKAP1
MLLT3	APPBP2
RCN3	KLHL42
SCAND1	ZKSCAN7
TCL1A	CALCOCO2
DCTD	NUDT18
CDKN2D	TBC1D17
CEP72	SPATA2
CREB3	MALL
TP53RK	TPRKB
DVL2	TRAF2
PLSCR1	CDC42EP1
TRAF2	LZTS2
FAM107A	HOOK2
KXD1	RABGEF1
CALCOCO2	ENKD1
KDM8	PCYT2
CALCOCO2	ZNF426
SIGLEC5	TRIP13
GJA5	AAR2
ASPA	ASPA
FHL3	TRIP6
CCDC85B	ENKD1
DVL3	ZNF408
DVL2	ENKD1
RGS14	TRAF2
FAM107A	BEGAIN
TRAF2	CRY1
EFEMP2	ZNF426
TRAF2	CALCOCO2
TRAF2	BIRC2
TBL3	APPBP2
NUP62	THAP1
NUDT18	HSD17B14
CAVIN2	PLEKHF2
SYT17	TSC22D4
NMI	EMILIN1
FHL3	RBM42
ZNRD2	CCT5
TEAD3	WWTR1
RNF40	NCBP1
NRIP1	TRAF2
CDKN1B	TRAF2
TRIM37	NUDT18
TRAF2	ITPK1
CALCOCO2	ZNF408
PAICS	NUDT18
SP100	SUMO1
CCNK	CDK18
CHTF8	EIF4EBP1
CEP70	ENKD1
TRIM29	MAD1L1
ZBTB48	DVL3
FBP1	RNF183
DUT	NUDT18
PRKAR1A	PYCARD
CCDC85B	FAM13C
NDC80	AMOTL2
ZCCHC10	THAP1
YIPF4	YIPF3
AMOTL2	MAD1L1
APPBP2	PCSK5
CCDC130	TRAF2
CCDC85B	CARD9
MAP3K7CL	GPS2
TRAF2	IRF4
FAM107A	TRAF2
PHF1	THAP1
AP2B1	TENT5C
FAM107A	CCDC85B
HIF1AN	INVS
ZSCAN9	ZNF446
EWSR1	RALYL
PRC1	CCDC85B
TRAF2	FBF1
GLUL	NUDT18
CDCA3	CTDSP1
TRAF2	TCEA2
CCDC85B	PIDD1
PCM1	CEP72
U2AF2	THAP1
MATK	EWSR1
TRAF2	NUDT18
RBPMS	ENKD1
PDE9A	PDE9A
STAT5A	PRTFDC1
HOOK2	UTP14A
RALYL	RBM41
NDC80	CALCOCO1
FAM107A	NINL
IFFO1	ACAP1
RAD23A	TRAF2
APPBP2	SYT11
NUDT18	CUTC
BEGAIN	ENKD1
NOL3	ETNK2
TUBGCP4	MAD1L1
TRIP13	PLK3
STX11	STX11
TRIP13	ARL11
CEP63	KXD1
STRBP	THAP1
ZNRD2	FXR2
HPRT1	PRTFDC1
FAM107A	CALCOCO2
SEPTIN1	SEPTIN1
ZBED1	RENBP
WDR62	MAPK9
DVL2	THAP1
PRKCZ	PARD6A
TRAF2	TIFA
NME1	NME3
KHDRBS3	SIAH1
E2F6	TFDP2
SNAP23	STX11
EIF4E	EIF4EBP1
GEMIN6	GEMIN7
TRAF2	TRAF2
DDIT3	BATF
MAD1L1	MAD1L1
FANCG	FANCA
MAD2L1	MAD1L1
EIF3G	EIF3C
ZBTB48	ZBTB8A
ZNF276	ZBTB8A
ZBTB8A	ZNF408
PLAU	SERPINE2
BAX	PMAIP1
BCL2	BID
BCL2	PMAIP1
BID	BCL2L1
BCL2L1	PMAIP1
BID	BCL2L2
MCL1	BMF
BID	MCL1
BCL2A1	BMF
PMAIP1	BCL2A1
MCL1	PMAIP1
MYC	DNMT3A
BCL2	ITPR1
MIS12	DSN1
NDC80	MIS12
ACAN	LUM
NSL1	DSN1
CBX3	DSN1
PMF1	DSN1
CBX5	DSN1
ZWINT	DSN1
MTOR	RPTOR
FKBP1A	RPTOR
MMP14	LUM
GIPC1	MYO6
CUL1	FBXO4
LIG4	PNKP
PSTPIP1	FDFT1
GSK3B	GEMIN4
LGALS9	CTNNB1
GEMIN4	RNPS1
ALDH16A1	PAAF1
PSTPIP1	RPL3
CD2BP2	DDX23
YWHAB	RAI14
KHK	AP2S1
