# Graph Type: undirected
ARF1	GGA3
TFAP2A	CITED2
TFAP2A	EP300
APOB	MTTP
BCL3	BARD1
ATF1	BRCA1
BRCA1	MSH2
BRCA1	BARD1
BRCA1	MSH6
ARVCF	CDH15
CAPN1	PSEN2
CA8	ITPR1
MCM5	MCM2
CDC7	MCM2
MCM2	DBF4
CDC25A	YWHAZ
CDK2	CDKN3
CCNB1	RALBP1
ZBTB16	HBEGF
FTL	MPP6
FGA	PRRC2A
GABARAP	GABRG2
GNAO1	RGS19
CCR10	PRRC2A
HTT	SETD2
HTT	HAP1
HTT	ZDHHC17
HTT	HYPK
HTT	TRIP10
SOCS1	IGF1R
IL1A	NDN
PRMT5	JAK2
SOCS1	JAK2
KRT8	BYSL
LYL1	NFKB1
XRCC6	VAV1
XRCC6	MRE11
PIAS4	LEF1
MITF	LEF1
MCM7	DBF4
CDC7	MCM7
SNCA	SNCAIP
NUMA1	EPB41L1
AKT1	PLXNA1
SOCS1	CSF1R
MET	GLMN
FOXG1	KDM5B
VAV1	EZH2
PAX5	TLE4
PIK3CA	PIK3R3
APOA1	PDE1A
TRPC1	PKD2
MAPK1	NEK2
PDPK1	PRKCZ
PRKCZ	WWC1
BRCA2	RAD51
RAD51	RAD51AP1
RAD51	DMC1
RXRA	BRD8
UNC13B	STX1A
TCAP	TTN
E2F1	NDN
SRC	EPHB2
TNNT1	TNNC1
TP53	CDC14A
ZNF10	TRIM28
TRIM24	ZNF10
MEFV	COG5
AR	FLNA
SMAD4	CITED1
CASK	TBR1
ARHGEF11	PLXNB3
XPO1	NXF3
CDC6	PPP2R3B
SH3KBP1	SH3GL3
FMR1	NUFIP1
RPGR	RPGRIP1
PDE6D	RPGR
AR	RAN
AR	NR2C2
AR	NCOA3
AR	RNF4
AR	NCOA4
AR	PAK6
AR	RANBP9
AR	RCHY1
PIAS2	AR
YY1	YAF2
BCL2L1	AVEN
TIAF1	JAK3
TLE1	HES6
CENPF	CENPF
PTPN13	PKN2
BCAR1	RAPGEF1
FLII	TRAIP
CSTF1	BARD1
NCBP2	NCBP1
NCK1	EPHB1
DLG4	ERBB4
YAP1	ERBB4
KCNJ2	DLG4
PSEN2	KCNIP3
SERPINH1	UBQLN4
COPB1	COPG2
DAB2	MYO6
THOP1	MPP6
ORC2	CDC6
ORC2	DBF4
CDC45	ORC2
BCAR1	YWHAZ
MYBL2	ZNF622
MAD2L1	ESR2
EED	EZH2
TRAF1	TRAIP
RFXAP	RFX5
TACC1	YEATS4
PEG10	SIAH1
DRAP1	TTF2
NRIP1	NR0B1
MAP2K5	MAP3K3
MCM3	MCM5
CDC45	MCM3
MCM3	DBF4
CDC7	MCM5
THRB	BRD8
CDC5L	TTF2
TRIP6	LPAR2
E2F6	RYBP
TLR3	RNF216
FANCA	SMARCA4
BCL10	MALT1
MBD3	MBD3L1
TROAP	BYSL
EIF3G	MPP6
AKAP9	TACC3
COPG2	COPG1
AKAP3	GNA13
TNIP1	TTF2
DCP1A	TTF2
PDCD6IP	TTF2
PRDX4	TTF2
CLPB	TTF2
TTF2	TACC3
GADD45G	GADD45GIP1
UNC13B	SPTBN2
NBL1	UBQLN1
URI1	DMAP1
FHL5	FHL5
FEZ1	DISC1
MCL1	BOK
TLR9	RNF216
TXNIP	ZBTB32
CSPG5	GOPC
IPO13	PAX6
OSTM1	RGS17
CDC7	ORC6
SOX6	CENPK
LSM8	COL23A1
LSM8	DBF4
ECT2	PARD6A
LRPPRC	CECR2
CCT5	THEG
RARA	NRBF2
RARA	ZBTB16
RARA	MECR
LOXL1	FBLN5
MT2A	PRKD1
NPR1	PRKG1
MT-ND2	SRC
PAWR	THAP1
DTNB	KIF5A
CDC7	MCM4
CCNE1	CUL3
PDZD2	CTNND2
GNB5	GNG4
ARL6IP5	ARL6
ARHGAP18	MPP6
MPP6	KNSTRN
EXOSC10	MPP6
MPP6	SNX9
MTREX	MPP6
AATF	MPP6
PUM2	NANOS1
ARL6IP4	ARL6
ARL6IP1	ARL6
COPZ2	COPG1
CDC7	DBF4
ATL2	ARL6
ARL6IP6	ARL6
TNNI3	PKD2L1
ECT2	KLHL20
MAST2	CDHR2
STK19	PRAME
C6orf47	FGFR3
ATP6V1G2	ATP6V1E1
FCHSD2	CCDC158
MAGEA11	MGME1
CALCOCO2	TP53RK
TRIM29	CRACR2A
MAGEA11	LNX1
DCTD	LNX1
VIM	C2CD6
GADD45G	RWDD2B
LGALS8	CALCOCO2
DAZAP2	DCUN1D1
TRIM23	RIBC2
GTPBP3	RIBC2
DTX2	RBPMS
DTNB	TSACC
PCBD1	NUDT18
NME5	DYDC1
LDOC1	LNX1
CALCOCO2	ZC2HC1C
CALCOCO2	CCDC185
KRT15	SMARCD1
ZNF821	CCDC85B
MAGEA11	BIRC2
ZNF446	ZSCAN32
VSNL1	DTX2
MAGEA1	MIEF1
LNX1	CUTC
PPP1R37	ZMYND19
FHL3	PHC2
BRME1	C19orf25
FOXS1	RBPMS
LURAP1	THAP7
EYA2	DMRTB1
ZNF250	DPPA2
ZNRD2	CCNH
KRT15	PCM1
CCDC158	GPSM1
HK2	UBQLN1
MAGEA11	DNAJC10
PLSCR1	DTX2
DAZAP2	C1orf94
CCDC85B	C2CD6
MAGEA11	PSMF1
ZNF165	ELOA2
CALCOCO2	LNX1
CBY2	NINL
RASSF8	FRMD6
CCNK	NECAB2
DAZAP2	TENT5C
LDOC1	POLL
DTNB	NUP62
MAGEA11	NDUFAF1
ZNF165	CCDC85B
CEP19	KXD1
CEP63	MBIP
TRIM37	ELOA2
BRME1	RABL6
KHDRBS3	ZNF408
NT5C2	NUDT18
NFIC	TPD52L3
DFFA	NECAB2
TADA2A	EXOC8
PSMA1	NECAB2
DNAL4	DYNLL2
BRME1	GPS2
CCDC85B	CFAP53
TEX11	MAD1L1
GADD45G	TSNAX
PAFAH1B2	PAFAH1B3
BEGAIN	RIBC2
KRT15	DEPP1
CIAO1	CCDC7
PAICS	CEP76
IFFO1	XRCC4
SOX30	BAMBI
EMD	FATE1
EFHC1	TEX11
UQCRB	MAGEA4
VIM	NOC4L
ZNRD2	C2CD6
USP2	HOOK2
ACCS	ACCS
EFEMP2	FAM107A
KRT15	EXOC8
SRSF1	LNX1
KAT7	ZNF165
ENOX1	NIF3L1
PLSCR1	NTN4
NINL	MAD1L1
ASMTL	TDO2
KHDRBS3	BAHD1
COX7A2L	MAGEA11
TEX11	C10orf82
NUDT18	TIFA
MAGEA11	NIF3L1
DVL2	DPPA2
TRIM23	BRME1
NUDT18	RAB3IL1
EWSR1	MNS1
NFIC	ZKSCAN7
CALCOCO2	PIAS4
KHDRBS3	PSMF1
ZNF496	ZNF446
C1orf94	MAPK1IP1L
FATE1	RNF183
NADK	LNX1
RWDD4	KCTD17
TRIP13	TEX37
MAGEA11	ILF3
TNNT1	CCDC85B
NOL4	MAGEA11
DPPA2	MOAP1
TRIP6	TENT5C
DMRTB1	NCKIPSD
MAGEA11	CLUAP1
ENKD1	TSC22D4
TRIM37	FAM107A
CDC42EP1	RBPMS
ACTN1	XRCC4
KRT15	TCHP
FXR2	THAP1
CEP76	KIFBP
UBE2I	DACH1
MAGEA11	ENOX2
NUDT18	KXD1
LPXN	ZNF426
TEX11	ZNF414
SFI1	RADIL
PRKAR1A	C2orf88
PDLIM4	RBPMS
KRT15	SGF29
KRT15	ZC2HC1C
LNX1	ENOX1
LDOC1	FAM107A
GLIS3	SUFU
AKR1C3	MAGEA11
EID3	APPBP2
NECAB2	CENPO
EFEMP2	CATSPER1
LDOC1	KRT15
RAB33A	RABAC1
SHCBP1	ZUP1
PSME3	ZCCHC10
USP2	BEND5
NECAB2	NTAQ1
FKBP6	NME7
SUMO1	MFI
TRIM29	TSGA10
DTX2	HPCAL4
NDC80	BLOC1S6
RPIA	LNX1
KRT18	KRT15
TNFAIP8	MED4
KLHL12	SNX20
ZNRD2	FNDC11
LDOC1	ZNF408
NDC80	KLHL12
ELOA2	KXD1
EFEMP2	PIDD1
ADAMTSL4	NTN4
CCDC85B	CCDC112
MAGEA11	VTA1
CDKN1A	TEX11
NCKIPSD	BAIAP2
IFIT3	IFIT1
ZBTB16	CEP72
MAGEA11	MCRS1
TADA2A	FAM107A
DPPA2	SETD5
C1orf94	RBPMS
FXR2	C10orf62
BEGAIN	DEF6
NECAB2	VTA1
KHDRBS3	CCDC33
LDOC1	DPPA4
MAGEA11	UBE2D4
PRMT8	PRMT8
TRIP13	CARD14
FAM107A	VIM
HNRNPC	RBM41
ZNF646	NINL
PLSCR1	NOC4L
MAGEA11	SNX20
CCDC85B	ZNF426
ASB9	HIF1AN
CCDC130	ZNF165
KRT15	KANSL1
KHDRBS3	LNX1
CCNK	KCNRG
TNNT1	PLEKHF1
RGR	KIFBP
CDK4	CDKN2D
PLSCR1	IQCN
CDC42	CDC42EP1
ZBTB43	ELOA2
CATSPER1	BEGAIN
SPOP	DPPA2
ZBTB48	LLCFC1
PPP1R37	BEND7
TEX11	TSC22D4
FKBP6	CCNK
PHYH	MAGEA11
DHPS	NUDT18
KRT15	TUBGCP4
KCNRG	KCNRG
CCDC85B	LNX1
MCM6	C2CD6
TEX11	COL20A1
CEP76	SALL2
TRIM37	RIBC2
PLSCR1	ENKD1
CDK5R1	TSC22D4
PLK4	SFN
CDK18	CCDC85B
MAGEA11	OTUB2
VCL	BRME1
PRUNE2	RCN3
KRT15	CCDC185
EWSR1	RNF183
PAFAH1B3	LNX1
VASP	DMRTB1
ADAMTSL4	CATSPER1
TEX9	CCDC112
MAGEA11	PNKD
TEX11	CFAP53
APPBP2	WDR24
TULP2	EWSR1
ISG15	USP18
CCDC85B	EZH2
