# Graph Type: undirected
ARF1	GGA3
TFAP2A	CITED2
TFAP2A	EP300
ARRB2	RALGDS
BCL3	BARD1
ARVCF	CDH15
PCBD1	CACNA1C
CAPN1	PSEN2
MCM5	MCM2
CDC7	MCM2
ARNT	SIM2
ARNT	SIM1
ZBTB16	HBEGF
ESR1	PPARGC1B
FGA	PRRC2A
GABARAP	GABRG2
PFKFB2	GCK
GNAO1	RGS19
FGF7	HSPG2
CCR10	PRRC2A
TCF3	ID3
IGF1R	IRS1
SOCS1	IGF1R
IRS1	PTK2
IRS1	MAPK8
INSR	IRS1
KRT8	BYSL
LYL1	NFKB1
ALOX5	COTL1
XRCC6	VAV1
PIAS4	LEF1
MITF	LEF1
LOX	DHDDS
MC4R	ATRNL1
CDC7	MCM7
NPY1R	LSM7
SNCA	SNCAIP
NFKB1	MAP3K8
AKT1	PLXNA1
ETS2	CDK10
SOCS1	CSF1R
MET	GLMN
PAX5	TLE4
PAX9	KDM5B
TRPC1	PKD2
PTPRB	MAGI3
RHOG	ARHGDIG
UNC13B	STX1A
SIVA1	CD27
E2F1	NDN
SRC	EPHB2
CDH1	CBLL1
MEFV	COG5
AR	FLNA
AGTR2	MTUS1
TRO	BYSL
ACTN3	MYPN
CASK	TBR1
LRP2	DLG3
NCS1	IL1RAPL1
TIMM8A	STAM
SH3KBP1	SH3GL3
ARHGEF9	GPHN
FMR1	NUFIP1
POLA1	RBMS1
RPGR	RPGRIP1
PDE6D	RPGR
AR	RAN
AR	NR2C2
AR	NCOA3
AR	RNF4
AR	NCOA4
AR	RANBP9
AR	RCHY1
PIAS2	AR
YY1	YAF2
BCL2L1	AVEN
BAX	BCL2A1
LRP2	MAGI1
LRP2	ANKRA2
DAB2	LRP2
PSTPIP1	PTPN12
HNF4A	CREBBP
TLE1	FOXA2
PTPN13	PKN2
DSC3	PKP4
HNF4A	ZNHIT3
BCAR1	RAPGEF1
S100A7	RANBP9
MSC	ID2
NCK1	EPHB1
DLG4	ERBB4
YAP1	ERBB4
KCNJ2	DLG4
PSEN2	KCNIP3
