	module_merged	disease_genes_count	total_genes_count	p_value	enrichment	p_value_fdr
6	11	13	246	3.893723589652933e-15	23.042160278745644	4.283095948618227e-14
8	16	3	248	0.018923813102570405	5.274539170506912	0.10408097206413723
1	2	4	600	0.0472776123349588	2.906857142857143	0.14155737339590832
10	36	1	23	0.05147540850760303	18.957763975155277	0.14155737339590832
9	25	1	64	0.13692393489433827	6.812946428571428	0.30123265676754424
5	8	2	395	0.22914946661406324	2.207739602169982	0.4201073554591159
7	15	1	223	0.4029693725336988	1.9552850736707237	0.6332375854100981
2	4	2	683	0.46858963035987033	1.276804015896256	0.6443107417448217
4	6	3	1378	0.6236833707112361	0.9492639436035661	0.7622796753137331
3	5	1	1096	0.9265717209645521	0.3978362877997914	0.9974862429136419
0	1	4	4560	0.9974862429136419	0.38248120300751876	0.9974862429136419
