node_id	module_merged	node_name
63	1	BCKDK
169	1	DNAJC1
199	1	TMEM246
222	1	PLP2
449	1	TOMM7
565	1	HSCB
629	1	PIGH
643	1	CLNS1A
705	1	POLR1D
725	1	OSER1
959	1	SARAF
998	1	DDX50
1012	1	TNS3
1024	1	RNASEK
1121	1	PPP2R5A
1151	1	MKRN1
1230	1	EBPL
1284	1	EIF4A2
1289	1	SWT1
1301	1	SMIM7
1435	1	MINDY1
1512	1	KCMF1
1586	1	ADGRE5
1793	1	TMBIM1
1796	1	C18orf21
2056	1	TCP1
2083	1	CCPG1
2096	1	SRP68
2329	1	ZDHHC12
2427	1	EMC3
2497	1	CNPPD1
2585	1	RETREG2
2796	1	GNL1
2852	1	TMBIM4
2872	1	ZNHIT3
2881	1	ZNF581
2906	1	POLR1E
2944	1	PPA1
2947	1	TIMM9
2953	1	MRPL37
2997	1	EIF3M
3071	1	ZDHHC9
3214	1	TARSL2
3235	1	UQCRFS1
3297	1	DDX54
3428	1	KLHL21
3466	1	ZNF595
3477	1	NOA1
3563	1	C19orf48
3579	1	DTWD1
3594	1	YJU2
3639	1	SNAPC2
3674	1	AVEN
3771	1	MIOS
3781	1	JADE3
3917	1	PARL
3961	1	FAM172A
3964	1	HAT1
4008	1	GMPS
4046	1	TMEM192
4048	1	KARS1
4050	1	TADA2B
4160	1	RWDD1
4403	1	PDCD2
4417	1	COA8
4464	1	ASNSD1
4528	1	GOLT1A
4628	1	FOPNL
4700	1	NPM1
4736	1	MAP7
4738	1	LRRC47
4848	1	GLRX3
4859	1	PUS3
4953	1	RIOK3
4972	1	SHTN1
4984	1	DRG1
5035	1	RNPEPL1
5208	1	USP3
5324	1	DALRD3
5414	1	RFC1
5510	1	EEF1B2
5535	1	LYRM1
5618	1	PEX16
5724	1	HAUS2
5752	1	UTP14A
5848	1	SYF2
6099	1	MRPL58
6137	1	UBXN1
6144	1	ELP2
6249	1	SF3A1
6346	1	DDX19B
6395	1	NCL
6463	1	SMIM19
6472	1	TRIM28
6538	1	BFAR
6623	1	TEX261
6671	1	TATDN1
6790	1	RBIS
6823	1	TMEM209
6850	1	MAPKAPK3
6885	1	IMPDH2
6919	1	CMSS1
6936	1	TK2
6946	1	RSL1D1
7006	1	AATF
7049	1	RBM15B
7150	1	PIK3CB
7151	1	ZNF561
7183	1	CHCHD5
7205	1	ESRP1
7249	1	HAUS4
7252	1	SLC35F5
7301	1	NOB1
7322	1	KCTD18
7354	1	TMEM187
7360	1	ZDHHC24
7439	1	CNBP
7552	1	SUN2
7631	1	TKT
7650	1	BCL2L13
7701	1	RARS1
7744	1	TBC1D15
7788	1	IPO5
7937	1	VDAC2
7951	1	ZFAND1
7956	1	SYS1
7985	1	SLC25A38
8022	1	COX5A
8114	1	RSL24D1
8169	1	BET1L
8417	1	MRPL54
8479	1	NFKBIL1
8540	1	LRPPRC
8550	1	GTF2F1
8552	1	CCNB1IP1
8611	1	SURF2
8632	1	CAMLG
8633	1	TMEM150A
8700	1	R3HCC1
8788	1	HEBP2
8790	1	ZCCHC7
8890	1	SPATA2L
8927	1	LIAS
9000	1	SQOR
9027	1	MAP2K5
9086	1	MRPL39
9197	1	RAB11FIP4
9198	1	SLC10A3
9217	1	NMRK1
9228	1	UBE4B
9304	1	PHB2
9538	1	PSMD5
9545	1	ICA1
9555	1	ANAPC16
9599	1	PYROXD1
9600	1	WIPI2
9620	1	PRDX6
9664	1	MTIF2
9775	1	RWDD2B
10076	1	SNX8
10086	1	C5orf22
10106	1	H2AJ
10172	1	CSDE1
10271	1	CCDC28A
10398	1	HSF1
10490	1	NOP53
10522	1	DDX42
10526	1	LETMD1
10551	1	TTC27
10642	1	FAF1
10731	1	UBL4A
10831	1	CDC37L1
10849	1	DEF6
10924	1	GRSF1
10930	1	ABITRAM
10982	1	CINP
11199	1	TMA16
11270	1	MACO1
11288	1	ZNF622
11297	1	IRAK1BP1
11392	1	NMD3
11574	1	POLR3E
11801	1	RPUSD4
11878	1	PIGC
11898	1	CCT8
11910	1	FRAT2
11978	1	FBXO6
11997	1	C12orf45
12085	1	GDI2
12208	1	OSBP
12260	1	ZNF33B
12270	1	PRELID1
12320	1	IMP4
12331	1	JAGN1
12350	1	NLE1
12366	1	ANP32B
12371	1	MRPL10
12388	1	NOP14
12433	1	ZPR1
12484	1	TMEM18
12603	1	OLA1
12633	1	RTCB
12691	1	WARS2
12814	1	PSMG2
12815	1	PPP1CC
12859	1	EIF1
12913	1	METTL5
12917	1	GID4
13175	1	EIF2A
13218	1	IGBP1
13565	1	ZNF16
13588	1	EIF4B
13658	1	HECTD3
13685	1	INTS10
13938	1	TXNL1
13958	1	THG1L
14016	1	PPCS
14023	1	CSNK2A2
14041	1	ADPRM
14057	1	VPS4A
