node_id	name
1	MED25
2	ENPP1
3	EIF2S2
4	LIPH
5	UHMK1
6	OPN1LW
7	ATP1B3
8	ZC3H12C
9	MTM1
10	CDKN2C
11	TSPAN15
12	CDCP1
13	FAHD1
14	SUGT1
15	PGRMC1
16	GFOD2
17	KRR1
18	PRX
19	CHRNA1
20	TRA2A
21	SEC61G
22	FAM98B
23	PPFIA4
24	GPN2
25	CYFIP1
26	GRM7
27	NTSR2
28	CCDC43
29	ZNF736
30	CTSG
31	THAP9
32	GNG12
33	WIPI1
34	MIB2
35	LHX3
36	CD86
37	ZNF700
38	BMI1
39	CAPN6
40	SDHB
41	IGHM
42	MAFA
43	DIS3L
44	SPRY3
45	C5orf63
46	FMN2
47	SNRNP70
48	C1QL1
49	GTF2H3
50	TOR2A
51	SLC6A8
52	NFKBIZ
53	TADA2A
54	SSRP1
55	ZNF410
56	FIBIN
57	SLC7A6
58	DPYSL3
59	PPP1CB
60	PKP3
61	ZC3H3
62	KIDINS220
63	BCKDK
64	HOMER1
65	PANK3
66	SPAG7
67	ELP5
68	ACTA1
69	BCL2L2
70	MRPS14
71	MGLL
72	XYLB
73	PPEF1
74	FABP7
75	LACC1
76	AP3S2
77	SGMS2
78	RHPN1
79	PSMC6
80	LY6G6C
81	SRRM4
82	MMP26
83	HBA1
84	HMX1
85	MFHAS1
86	LSM5
87	PRR36
88	MIA2
89	KAZALD1
90	PCYOX1
91	TXNL4A
92	RCN3
93	VKORC1L1
94	ZBTB25
95	CPPED1
96	ARHGEF39
97	PLAUR
98	S100A3
99	ARHGAP1
100	AMELY
101	SPCS1
102	CLEC7A
103	SPN
104	GNB5
105	DTWD2
106	GPR4
107	IFNL2
108	FXYD4
109	NR1H2
110	MMEL1
111	PUM1
112	TAF1L
113	RBMS3
114	ALDH7A1
115	AP3B2
116	IFT20
117	IGDCC4
118	DMC1
119	TMEM239
120	CDK4
121	SH3D19
122	DHRS3
123	TMEM63A
124	PIH1D1
125	PTGS1
126	CAVIN3
127	TDO2
128	IGKV2-28
129	STX1B
130	BICDL2
131	SNRPE
132	PROK2
133	ACAA1
134	OBSL1
135	GFI1B
136	TJP1
137	SERF2
138	C3orf62
139	FUT11
140	ADAM20
141	PKDCC
142	CRYBB2
143	EEPD1
144	TXK
145	MYH7
146	RBM48
147	PI4K2B
148	PIDD1
149	ACTG2
150	C17orf75
151	NTRK2
152	BICRAL
153	DNAJC7
154	MEX3C
155	NAA30
156	MOCOS
157	FLT4
158	FBXW5
159	LITAF
160	NUDT16L1
161	KNG1
162	IRF6
163	TSPAN7
164	VASP
165	FAM32A
166	OAT
167	STK17B
168	RAB3C
169	DNAJC1
170	GRAMD2B
171	CIB1
172	PTX3
173	ZNF322
174	SCN5A
175	NPIPB5
176	HOXA7
177	BAK1
178	SEC63
179	ZFP1
180	XPO5
181	TRBV5-1
182	EMC10
183	HM13
184	ZNF444
185	MPG
186	ATP2A3
187	PALM
188	ELF4
189	PIGO
190	RBP2
191	ASGR2
192	PSMD12
193	TRAV8-4
194	C1QA
195	KLHL2
196	ZNF287
197	PRDX2
198	KIF3C
199	TMEM246
200	SLC6A20
201	ABCG8
202	POC1A
203	GRIN2B
204	KCNJ14
205	S1PR5
206	PFKP
207	ELMO3
208	KLF1
209	FADS3
210	KLHL31
211	SLC16A9
212	LSM8
213	DDT
214	STX1A
215	MAMDC4
216	CREBL2
217	NAPSA
218	VASH1
219	AVPR1A
220	SUMO2
221	POU2F3
222	PLP2
223	SLC22A17
224	PRSS50
225	TOP2B
226	CLCNKA
227	SLC25A28
228	ZNF274
229	FAM69A
230	ARFIP1
231	CHRNE
232	MTRF1L
233	FBXL2
234	FZD2
235	NOCT
236	TXLNA
237	GPR173
238	STARD10
239	SLC26A11
240	CA2
241	IFIH1
242	FRMD7
243	SH3TC2
244	LUZP1
245	THBS2
246	IPO7
247	ADAMTS4
248	CLDN17
249	UBQLN3
250	TIGD7
251	FAM83F
252	LARGE1
253	SLC40A1
254	IGSF9
255	BOP1
256	FARS2
257	SHLD2
258	KLF7
259	OXSM
260	LRRC39
261	CENPN
262	EIF2AK3
263	EXOSC10
264	EPN2
265	ATP5F1C
266	PLEKHS1
267	MYF5
268	GPAM
269	GTPBP3
270	GGCT
271	RRM2B
272	CBY1
273	CCNL1
274	KCNMB1
275	GLI4
276	TBXAS1
277	UQCRC2
278	UXT
279	PRRG4
280	NSD2
281	ZNF365
282	KLRC4
283	RAB3D
284	RCCD1
285	KAT6A
286	PELI1
287	LY6H
288	RBM7
289	PGM2
290	AP2B1
291	TNFAIP8
292	ACADS
293	SNCA
294	DCP1B
295	BOLA3
296	GAR1
297	TP53BP2
298	SOX8
299	BCLAF3
300	GSTA3
301	CDK13
302	KLHL15
303	ZNF292
304	BCL7C
305	ACAT2
306	DGKE
307	LAP3
308	DUOX2
309	RNF7
310	OIT3
311	CHL1
312	RUNX1
313	ADGRB1
314	KCNK16
315	SP1
316	PLAC9
317	C3
318	APP
319	ZNF143
320	PTDSS2
321	UVSSA
322	PPP1R1B
323	NR0B1
324	PB2
325	PAWR
326	GABPB1
327	GPR78
328	PAPLN
